G[1,1](Chloride >= 0.534 & HCO3 >= 0.860) [Discrimination Score: -0.000; Robustness + : -0.860; Robustness - : -0.860; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 5.890 | Hct <= 32.302) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 236.350 -> WBC >= 0.057) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 3.784 | Hct <= 36.403) -> WBC >= 0.401) & Platelets >= 5.994) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 0.505 & Potassium <= 3.076) & Magnesium >= 0.089) [Discrimination Score: -1.000; Robustness + : -0.089; Robustness - : -0.089; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 5.170 & Potassium < 3.721) & Magnesium < 0.321) & Phosphate < 1.657) [Discrimination Score: -0.236; Robustness + : 0.236; Robustness - : 0.321; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.119 & Magnesium > 0.012) -> Calcium < 2.793) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 42.551) U[0,2] (SBP <= 158.985)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 4.653 & Creatinine >= 0.030) [Discrimination Score: 0.236; Robustness + : 0.217; Robustness - : -0.030; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 3.874 & HCO3 >= 0.213) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 12.601 | Hct <= 14.975) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 163.975 -> WBC >= 0.149) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 2.979 | Hct <= 25.040) -> WBC >= 0.458) & Platelets >= 1.045) [Discrimination Score: 0.000; Robustness + : -25.040; Robustness - : -25.040; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 6.772 & Potassium <= 2.803) & Magnesium >= 0.063) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 8.766 & Potassium < 1.604) & Magnesium < 0.345) & Phosphate < 0.500) [Discrimination Score: -0.236; Robustness + : 0.232; Robustness - : 0.345; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((Phosphate >= 0.118 & Magnesium > 0.067) -> Calcium < 5.016) [Discrimination Score: 2.000; Robustness + : -5.016; Robustness - : -5.016; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 73.726) U[0,2] (SBP <= 156.553)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 10.945 & Creatinine >= 0.011) [Discrimination Score: -3.000; Robustness + : -0.011; Robustness - : -0.011; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 2.906 & HCO3 >= 0.111) [Discrimination Score: 2.000; Robustness + : -2.906; Robustness - : -2.906; Percent Class + : 1.000; Percent Class - : 0.000]
