G[1,1](Chloride >= 4.315 & HCO3 >= 0.000) [Discrimination Score: 4.315; Robustness + : 0.000; Robustness - : -4.315; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 0.000 | Hct <= 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 0.000 -> WBC >= 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 0.000 | Hct <= 0.000) -> WBC >= 0.000) & Platelets >= 0.000) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 3.292 & Potassium <= 1.671) & Magnesium >= 0.098) [Discrimination Score: 0.098; Robustness + : 0.000; Robustness - : -0.098; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 1.759 & Potassium < 3.626) & Magnesium < 1.578) & Phosphate < 3.199) [Discrimination Score: -1.578; Robustness + : 0.000; Robustness - : 1.578; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.008 & Magnesium > 0.090) -> Calcium < 1.633) [Discrimination Score: 1.633; Robustness + : 0.000; Robustness - : -1.633; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 38.101) U[1,2] (SBP <= 93.832)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 47.430 & Creatinine >= 0.192) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 5.001 & HCO3 >= 0.000) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 0.000 | Hct <= 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 0.000 -> WBC >= 0.000) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 0.000 | Hct <= 0.000) -> WBC >= 0.000) & Platelets >= 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 4.005 & Potassium <= 3.637) & Magnesium >= 0.055) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 3.693 & Potassium < 1.774) & Magnesium < 1.678) & Phosphate < 1.644) [Discrimination Score: -1.644; Robustness + : 0.000; Robustness - : 1.644; Percent Class + : 0.000; Percent Class - : 1.000]
