G[0,0](Chloride >= 14.628 & HCO3 >= 1.662) [Discrimination Score: -0.103; Robustness + : -13.128; Robustness - : -12.378; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 6.087 | Hct <= 9.764) [Discrimination Score: 0.000; Robustness + : 9.764; Robustness - : 9.764; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 549.204 -> WBC >= 0.085) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 3.324 | Hct <= 19.286) -> WBC >= 0.636) & Platelets >= 46.679) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 6.399 & Potassium <= 2.023) & Magnesium >= 0.001) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 2.462 & Potassium < 4.251) & Magnesium < 1.728) & Phosphate < 1.407) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.358 & Magnesium > 0.231) -> Calcium < 3.346) [Discrimination Score: -1.000; Robustness + : -3.346; Robustness - : -3.346; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 56.611) U[2,2] (SBP <= 135.544)) [Discrimination Score: 1.000; Robustness + : 135.544; Robustness - : 135.544; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 15.244 & Creatinine >= 0.115) [Discrimination Score: -1.000; Robustness + : -0.115; Robustness - : -0.115; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 2.695 & HCO3 >= 2.195) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 3.391 | Hct <= 4.408) [Discrimination Score: 0.000; Robustness + : 4.408; Robustness - : 4.408; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 247.294 -> WBC >= 0.034) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
