G[0,1](Chloride >= 3.558 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 6.642 | Hct <= 20.822) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 164.491 -> WBC >= 0.096) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 5.980 | Hct <= 15.241) -> WBC >= 0.429) & Platelets >= 7.017) [Discrimination Score: -1.000; Robustness + : -15.241; Robustness - : -15.241; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 4.723 & Potassium <= 3.063) & Magnesium >= 0.023) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 1.163 & Potassium < 2.114) & Magnesium < 1.938) & Phosphate < 2.584) [Discrimination Score: 0.000; Robustness + : 1.163; Robustness - : 1.163; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.051 & Magnesium > 0.083) -> Calcium < 6.809) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 4.189) U[0,2] (SBP <= 154.756)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 16.734 & Creatinine >= 0.008) [Discrimination Score: -0.043; Robustness + : 2.782; Robustness - : 3.340; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 0.614 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 2.326 | Hct <= 19.826) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 74.594 -> WBC >= 0.093) [Discrimination Score: 0.000; Robustness + : -74.594; Robustness - : -74.594; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 2.992 | Hct <= 23.514) -> WBC >= 0.259) & Platelets >= 16.485) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 5.381 & Potassium <= 2.597) & Magnesium >= 0.172) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 4.609 & Potassium < 4.010) & Magnesium < 0.780) & Phosphate < 1.139) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.038 & Magnesium > 0.073) -> Calcium < 7.327) [Discrimination Score: 0.000; Robustness + : -7.327; Robustness - : -7.327; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 4.872) U[0,1] (SBP <= 143.062)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 17.385 & Creatinine >= 0.043) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 12.779 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : -12.779; Robustness - : -12.779; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 7.344 | Hct <= 29.443) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 169.202 -> WBC >= 0.249) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 4.529 | Hct <= 24.077) -> WBC >= 0.400) & Platelets >= 19.855) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 4.256 & Potassium <= 1.686) & Magnesium >= 0.123) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 4.065 & Potassium < 1.152) & Magnesium < 0.727) & Phosphate < 0.482) [Discrimination Score: -0.266; Robustness + : -0.339; Robustness - : 0.153; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.057 & Magnesium > 0.092) -> Calcium < 5.030) [Discrimination Score: 0.000; Robustness + : -5.030; Robustness - : -5.030; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 42.289) U[0,2] (SBP <= 148.501)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 15.695 & Creatinine >= 0.075) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 0.923 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : -0.923; Robustness - : -0.923; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 8.324 | Hct <= 20.282) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 182.432 -> WBC >= 0.549) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 8.845 | Hct <= 29.881) -> WBC >= 0.092) & Platelets >= 17.793) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 7.525 & Potassium <= 1.844) & Magnesium >= 0.106) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 6.087 & Potassium < 2.818) & Magnesium < 0.641) & Phosphate < 0.518) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.043 & Magnesium > 0.098) -> Calcium < 2.955) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 57.764) U[0,2] (SBP <= 154.674)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 13.003 & Creatinine >= 0.063) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 6.219 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 1.993 | Hct <= 22.194) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 172.025 -> WBC >= 0.222) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 8.588 | Hct <= 19.366) -> WBC >= 0.336) & Platelets >= 17.939) [Discrimination Score: 0.447; Robustness + : -19.361; Robustness - : -19.366; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 5.414 & Potassium <= 2.061) & Magnesium >= 0.063) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 3.332 & Potassium < 2.149) & Magnesium < 1.823) & Phosphate < 0.999) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.011 & Magnesium > 0.030) -> Calcium < 5.219) [Discrimination Score: 0.000; Robustness + : -5.219; Robustness - : -5.219; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 77.723) U[0,0] (SBP <= 156.242)) [Discrimination Score: -0.447; Robustness + : 150.275; Robustness - : 156.242; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 3.939 & Creatinine >= 0.025) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 10.267 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 5.973 | Hct <= 4.869) [Discrimination Score: 0.000; Robustness + : 5.973; Robustness - : 5.973; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 161.757 -> WBC >= 0.095) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 6.197 | Hct <= 29.632) -> WBC >= 0.666) & Platelets >= 7.940) [Discrimination Score: 0.000; Robustness + : -29.632; Robustness - : -29.632; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 5.513 & Potassium <= 1.851) & Magnesium >= 0.145) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 1.003 & Potassium < 1.646) & Magnesium < 0.663) & Phosphate < 1.695) [Discrimination Score: 0.000; Robustness + : 0.663; Robustness - : 0.663; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.140 & Magnesium > 0.068) -> Calcium < 9.126) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 69.072) U[1,2] (SBP <= 145.316)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 20.151 & Creatinine >= 0.001) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 1.048 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : -1.048; Robustness - : -1.048; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 2.285 | Hct <= 22.501) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 23.191 -> WBC >= 0.774) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 0.896 | Hct <= 12.762) -> WBC >= 0.592) & Platelets >= 16.353) [Discrimination Score: 0.000; Robustness + : -16.353; Robustness - : -16.353; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 8.725 & Potassium <= 3.926) & Magnesium >= 0.009) [Discrimination Score: 0.000; Robustness + : -0.009; Robustness - : -0.009; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 2.825 & Potassium < 1.794) & Magnesium < 0.956) & Phosphate < 0.852) [Discrimination Score: 0.000; Robustness + : 0.852; Robustness - : 0.852; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.117 & Magnesium > 0.163) -> Calcium < 5.254) [Discrimination Score: -1.000; Robustness + : -5.254; Robustness - : -5.254; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 65.330) U[1,2] (SBP <= 155.252)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 13.908 & Creatinine >= 0.027) [Discrimination Score: 1.000; Robustness + : -0.027; Robustness - : -0.027; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 1.318 & HCO3 >= 0.000) [Discrimination Score: 0.166; Robustness + : -0.878; Robustness - : -1.066; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 8.869 | Hct <= 9.274) [Discrimination Score: 0.000; Robustness + : 9.274; Robustness - : 9.274; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 76.308 -> WBC >= 0.602) [Discrimination Score: 0.000; Robustness + : -76.308; Robustness - : -76.308; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 7.285 | Hct <= 20.195) -> WBC >= 0.596) & Platelets >= 5.154) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 3.346 & Potassium <= 3.316) & Magnesium >= 0.022) [Discrimination Score: 0.000; Robustness + : -0.022; Robustness - : -0.022; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 8.261 & Potassium < 3.433) & Magnesium < 0.538) & Phosphate < 3.094) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.160 & Magnesium > 0.152) -> Calcium < 3.589) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 40.122) U[1,2] (SBP <= 126.604)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 5.674 & Creatinine >= 0.083) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 8.577 & HCO3 >= 0.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 6.456 | Hct <= 23.891) [Discrimination Score: 1.000; Robustness + : 23.891; Robustness - : 23.891; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 66.997 -> WBC >= 0.734) [Discrimination Score: 0.000; Robustness + : -66.997; Robustness - : -66.997; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 7.073 | Hct <= 5.760) -> WBC >= 0.475) & Platelets >= 20.301) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
