G[0,1](Chloride >= 9.280 & HCO3 >= 0.690) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 3.257 | Hct <= 7.717) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 72.210 -> WBC >= 0.012) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 2.999 | Hct <= 19.530) -> WBC >= 0.053) & Platelets >= 7.790) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 1.757 & Potassium <= 3.870) & Magnesium >= 0.060) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 6.535 & Potassium < 1.447) & Magnesium < 1.611) & Phosphate < 0.567) [Discrimination Score: -0.567; Robustness + : 0.000; Robustness - : 0.567; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.077 & Magnesium > 0.155) -> Calcium < 5.349) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 3.717) U[0,1] (SBP <= 99.908)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 12.360 & Creatinine >= 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : -0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 7.151 & HCO3 >= 0.529) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 5.483 | Hct <= 15.639) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 12.578 -> WBC >= 0.143) [Discrimination Score: 12.578; Robustness + : 0.000; Robustness - : -12.578; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 3.353 | Hct <= 23.255) -> WBC >= 0.118) & Platelets >= 0.551) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 7.351 & Potassium <= 2.757) & Magnesium >= 0.047) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 2.878 & Potassium < 0.594) & Magnesium < 0.726) & Phosphate < 0.452) [Discrimination Score: 0.056; Robustness + : 0.000; Robustness - : -0.048; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.186 & Magnesium > 0.171) -> Calcium < 4.613) [Discrimination Score: 4.613; Robustness + : 0.000; Robustness - : -4.613; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 4.635) U[0,1] (SBP <= 101.757)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 3.809 & Creatinine >= 0.060) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 11.438 & HCO3 >= 2.788) [Discrimination Score: 11.438; Robustness + : 0.000; Robustness - : -11.438; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 2.006 | Hct <= 12.887) [Discrimination Score: -12.887; Robustness + : 0.000; Robustness - : 12.887; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 17.486 -> WBC >= 0.063) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 6.467 | Hct <= 10.011) -> WBC >= 0.115) & Platelets >= 5.659) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 4.365 & Potassium <= 2.819) & Magnesium >= 0.086) [Discrimination Score: 0.086; Robustness + : 0.000; Robustness - : -0.086; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 6.951 & Potassium < 1.710) & Magnesium < 0.925) & Phosphate < 0.891) [Discrimination Score: -0.891; Robustness + : 0.000; Robustness - : 0.891; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.053 & Magnesium > 0.113) -> Calcium < 2.405) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 23.865) U[0,1] (SBP <= 113.183)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 1.620 & Creatinine >= 0.046) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 10.166 & HCO3 >= 1.967) [Discrimination Score: 2.286; Robustness + : 0.000; Robustness - : -8.116; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 4.216 | Hct <= 15.231) [Discrimination Score: -15.231; Robustness + : 0.000; Robustness - : 15.231; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 27.019 -> WBC >= 0.060) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 5.796 | Hct <= 24.995) -> WBC >= 0.045) & Platelets >= 0.091) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 1.593 & Potassium <= 1.582) & Magnesium >= 0.189) [Discrimination Score: 0.189; Robustness + : 0.000; Robustness - : -0.189; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 6.199 & Potassium < 2.727) & Magnesium < 1.343) & Phosphate < 0.232) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.205 & Magnesium > 0.092) -> Calcium < 8.255) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 50.943) U[0,1] (SBP <= 82.354)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 9.972 & Creatinine >= 0.114) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 2.773 & HCO3 >= 1.480) [Discrimination Score: 2.773; Robustness + : 0.000; Robustness - : -2.773; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 7.001 | Hct <= 24.940) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 23.612 -> WBC >= 0.044) [Discrimination Score: 23.612; Robustness + : 0.000; Robustness - : -23.612; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((Hgb <= 4.123 | Hct <= 20.957) -> WBC >= 0.092) & Platelets >= 7.676) [Discrimination Score: 20.957; Robustness + : 0.000; Robustness - : -20.957; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 5.988 & Potassium <= 1.569) & Magnesium >= 0.001) [Discrimination Score: 0.001; Robustness + : 0.000; Robustness - : -0.001; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 7.345 & Potassium < 3.635) & Magnesium < 1.569) & Phosphate < 0.667) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.059 & Magnesium > 0.206) -> Calcium < 1.306) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
