G[0,0](Chloride >= 15.300 & HCO3 >= 4.015) [Discrimination Score: 3.065; Robustness + : 0.000; Robustness - : -12.875; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 11.819 | Hct <= 29.259) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 159.950 -> WBC >= 0.768) [Discrimination Score: 159.950; Robustness + : 0.000; Robustness - : -159.950; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 1.568 | Hct <= 12.408) -> WBC >= 1.256) & Platelets >= 34.586) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 7.877 & Potassium <= 4.489) & Magnesium >= 0.009) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 7.951 & Potassium < 2.599) & Magnesium < 2.138) & Phosphate < 2.617) [Discrimination Score: -2.138; Robustness + : 0.000; Robustness - : 2.138; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.910 & Magnesium > 0.070) -> Calcium < 3.431) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 72.002) U[2,2] (SBP <= 32.267)) [Discrimination Score: -32.267; Robustness + : 0.000; Robustness - : 32.267; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 11.611 & Creatinine >= 0.181) [Discrimination Score: 0.181; Robustness + : 0.000; Robustness - : -0.181; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 22.679 & HCO3 >= 0.145) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 7.266 | Hct <= 25.517) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 253.126 -> WBC >= 0.719) [Discrimination Score: 253.126; Robustness + : 0.000; Robustness - : -253.126; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 5.705 | Hct <= 34.184) -> WBC >= 0.294) & Platelets >= 5.577) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
