G[0,0](Chloride >= 10.941 & HCO3 >= 0.156) [Discrimination Score: -0.280; Robustness + : -10.677; Robustness - : -9.401; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 10.395 | Hct <= 26.291) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 129.768 -> WBC >= 1.131) [Discrimination Score: 0.000; Robustness + : -129.768; Robustness - : -129.768; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((Hgb <= 4.683 | Hct <= 6.257) -> WBC >= 1.032) & Platelets >= 1.685) [Discrimination Score: 0.000; Robustness + : -6.257; Robustness - : -6.257; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 2.094 & Potassium <= 4.329) & Magnesium >= 0.068) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 3.323 & Potassium < 1.627) & Magnesium < 2.652) & Phosphate < 0.811) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.020 & Magnesium > 0.256) -> Calcium < 8.179) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 62.375) U[0,0] (SBP <= 130.730)) [Discrimination Score: -0.034; Robustness + : 115.155; Robustness - : 116.386; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 19.738 & Creatinine >= 0.002) [Discrimination Score: -0.166; Robustness + : 0.270; Robustness - : 3.946; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 2.404 & HCO3 >= 3.553) [Discrimination Score: -9.000; Robustness + : -3.553; Robustness - : -3.553; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 7.045 | Hct <= 9.418) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 181.054 -> WBC >= 0.613) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 9.008 | Hct <= 8.255) -> WBC >= 0.990) & Platelets >= 4.472) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 3.066 & Potassium <= 0.826) & Magnesium >= 0.133) [Discrimination Score: -0.000; Robustness + : -0.133; Robustness - : -0.133; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 4.469 & Potassium < 1.960) & Magnesium < 1.794) & Phosphate < 1.210) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((Phosphate >= 0.173 & Magnesium > 0.222) -> Calcium < 8.375) [Discrimination Score: 0.180; Robustness + : -8.150; Robustness - : -8.375; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 55.532) U[1,2] (SBP <= 130.445)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 5.053 & Creatinine >= 0.045) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 16.082 & HCO3 >= 0.239) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 6.160 | Hct <= 7.246) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 71.171 -> WBC >= 0.306) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 5.656 | Hct <= 23.802) -> WBC >= 0.346) & Platelets >= 2.021) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 0.990 & Potassium <= 3.868) & Magnesium >= 0.194) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 6.035 & Potassium < 5.058) & Magnesium < 0.975) & Phosphate < 0.412) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.183 & Magnesium > 0.101) -> Calcium < 2.637) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 55.699) U[1,2] (SBP <= 132.672)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 20.496 & Creatinine >= 0.014) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 16.861 & HCO3 >= 3.729) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 7.249 | Hct <= 13.020) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 98.149 -> WBC >= 0.287) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 5.470 | Hct <= 20.362) -> WBC >= 1.026) & Platelets >= 7.306) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 7.121 & Potassium <= 3.719) & Magnesium >= 0.106) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 7.470 & Potassium < 4.651) & Magnesium < 2.409) & Phosphate < 3.838) [Discrimination Score: -4.000; Robustness + : 2.409; Robustness - : 2.409; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.163 & Magnesium > 0.303) -> Calcium < 6.096) [Discrimination Score: 0.000; Robustness + : -6.096; Robustness - : -6.096; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 68.943) U[0,1] (SBP <= 122.839)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 34.372 & Creatinine >= 0.015) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 10.543 & HCO3 >= 1.958) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 6.166 | Hct <= 23.323) [Discrimination Score: 0.000; Robustness + : 23.323; Robustness - : 23.323; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 12.722 -> WBC >= 0.964) [Discrimination Score: 0.093; Robustness + : -14.245; Robustness - : -15.605; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 9.236 | Hct <= 13.137) -> WBC >= 0.236) & Platelets >= 6.061) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
