G[1,1](Chloride >= 6.972 & HCO3 >= 0.639) [Discrimination Score: 6.972; Robustness + : 0.000; Robustness - : -6.972; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 10.540 | Hct <= 5.172) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 22.710 -> WBC >= 2.085) [Discrimination Score: 22.710; Robustness + : 0.000; Robustness - : -22.710; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 8.285 | Hct <= 11.805) -> WBC >= 1.106) & Platelets >= 1.462) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 2.197 & Potassium <= 3.659) & Magnesium >= 0.193) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 2.556 & Potassium < 3.980) & Magnesium < 1.841) & Phosphate < 2.464) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((Phosphate >= 0.032 & Magnesium > 0.179) -> Calcium < 2.918) [Discrimination Score: 2.918; Robustness + : 0.000; Robustness - : -2.918; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 21.345) U[1,2] (SBP <= 82.184)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 28.224 & Creatinine >= 0.219) [Discrimination Score: 0.219; Robustness + : 0.000; Robustness - : -0.219; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 4.822 & HCO3 >= 1.550) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 4.741 | Hct <= 22.593) [Discrimination Score: -22.593; Robustness + : 0.000; Robustness - : 22.593; Percent Class + : 0.000; Percent Class - : 1.000]
