G[2,2](Chloride >= 5.301 & HCO3 >= 1.883) [Discrimination Score: 5.301; Robustness + : 0.000; Robustness - : -5.301; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 5.057 | Hct <= 30.872) [Discrimination Score: -30.872; Robustness + : 0.000; Robustness - : 30.872; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 386.582 -> WBC >= 2.561) [Discrimination Score: 386.582; Robustness + : 0.000; Robustness - : -386.582; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 3.173 | Hct <= 27.614) -> WBC >= 0.411) & Platelets >= 2.620) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 3.239 & Potassium <= 2.648) & Magnesium >= 0.118) [Discrimination Score: 0.118; Robustness + : 0.000; Robustness - : -0.118; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 0.910 & Potassium < 2.010) & Magnesium < 1.349) & Phosphate < 0.375) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.124 & Magnesium > 0.031) -> Calcium < 1.273) [Discrimination Score: 1.273; Robustness + : 0.000; Robustness - : -1.273; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 5.732) U[0,1] (SBP <= 128.369)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 14.911 & Creatinine >= 0.080) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 5.728 & HCO3 >= 0.420) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 4.304 | Hct <= 21.976) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 193.922 -> WBC >= 2.337) [Discrimination Score: 193.922; Robustness + : 0.000; Robustness - : -193.922; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 3.069 | Hct <= 23.820) -> WBC >= 0.777) & Platelets >= 8.652) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 3.588 & Potassium <= 1.305) & Magnesium >= 0.263) [Discrimination Score: 0.263; Robustness + : 0.000; Robustness - : -0.263; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 5.465 & Potassium < 2.538) & Magnesium < 1.512) & Phosphate < 1.116) [Discrimination Score: -1.116; Robustness + : 0.000; Robustness - : 1.116; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.009 & Magnesium > 0.191) -> Calcium < 6.522) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 14.270) U[0,0] (SBP <= 111.519)) [Discrimination Score: -7.573; Robustness + : 0.000; Robustness - : 98.230; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 25.953 & Creatinine >= 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : -0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 5.448 & HCO3 >= 2.057) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 6.130 | Hct <= 28.136) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 181.871 -> WBC >= 1.578) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 9.921 | Hct <= 11.371) -> WBC >= 2.130) & Platelets >= 41.070) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 4.016 & Potassium <= 1.974) & Magnesium >= 0.240) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 0.898 & Potassium < 0.689) & Magnesium < 1.929) & Phosphate < 3.097) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.313 & Magnesium > 0.241) -> Calcium < 7.444) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 68.206) U[0,2] (SBP <= 128.017)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 26.737 & Creatinine >= 0.084) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 0.469 & HCO3 >= 1.389) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 7.435 | Hct <= 23.628) [Discrimination Score: -23.628; Robustness + : 0.000; Robustness - : 23.628; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 75.263 -> WBC >= 0.643) [Discrimination Score: 75.263; Robustness + : 0.000; Robustness - : -75.263; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 10.004 | Hct <= 19.815) -> WBC >= 2.773) & Platelets >= 37.689) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 1.166 & Potassium <= 2.373) & Magnesium >= 0.027) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 7.411 & Potassium < 1.725) & Magnesium < 0.826) & Phosphate < 0.821) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
