G[1,1](Chloride >= 1.356 & HCO3 >= 0.500) [Discrimination Score: -0.000; Robustness + : -1.356; Robustness - : -1.356; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 7.537 | Hct <= 8.448) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 36.087 -> WBC >= 0.363) [Discrimination Score: -1.000; Robustness + : -36.087; Robustness - : -36.087; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 0.705 | Hct <= 33.732) -> WBC >= 0.823) & Platelets >= 6.378) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 3.821 & Potassium <= 1.659) & Magnesium >= 0.051) [Discrimination Score: -0.500; Robustness + : -0.051; Robustness - : -0.051; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 1.236 & Potassium < 4.191) & Magnesium < 0.265) & Phosphate < 4.372) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((Phosphate >= 0.031 & Magnesium > 0.021) -> Calcium < 2.205) [Discrimination Score: 3.500; Robustness + : -2.205; Robustness - : -2.205; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 25.595) U[0,2] (SBP <= 110.990)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 5.878 & Creatinine >= 0.003) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 0.303 & HCO3 >= 0.575) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 8.013 | Hct <= 3.727) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 173.468 -> WBC >= 0.583) [Discrimination Score: 0.000; Robustness + : -173.468; Robustness - : -173.468; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 12.864 | Hct <= 30.777) -> WBC >= 0.494) & Platelets >= 10.515) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 6.546 & Potassium <= 0.635) & Magnesium >= 0.062) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
