G[2,2](Chloride >= 3.566 & HCO3 >= 0.866) [Discrimination Score: -1.250; Robustness + : -3.566; Robustness - : -3.566; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 11.378 | Hct <= 17.943) [Discrimination Score: 0.000; Robustness + : 17.943; Robustness - : 17.943; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 140.692 -> WBC >= 0.937) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 10.983 | Hct <= 34.052) -> WBC >= 0.774) & Platelets >= 13.861) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 2.853 & Potassium <= 2.899) & Magnesium >= 0.043) [Discrimination Score: 0.183; Robustness + : 0.005; Robustness - : -0.043; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 3.201 & Potassium < 0.547) & Magnesium < 1.343) & Phosphate < 0.600) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.048 & Magnesium > 0.119) -> Calcium < 4.284) [Discrimination Score: 2.000; Robustness + : -4.284; Robustness - : -4.284; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 31.086) U[0,2] (SBP <= 117.193)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 3.851 & Creatinine >= 0.038) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 4.651 & HCO3 >= 0.138) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 9.657 | Hct <= 33.118) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 30.532 -> WBC >= 0.594) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
