G[0,0](Chloride >= 8.335 & HCO3 >= 0.933) [Discrimination Score: -0.043; Robustness + : -7.102; Robustness - : -6.855; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 7.170 | Hct <= 15.949) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 9.409 -> WBC >= 0.015) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 5.441 | Hct <= 16.182) -> WBC >= 0.053) & Platelets >= 0.077) [Discrimination Score: 0.000; Robustness + : -16.182; Robustness - : -16.182; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.102 & Potassium <= 0.591) & Magnesium >= 0.096) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 7.374 & Potassium < 2.681) & Magnesium < 0.661) & Phosphate < 0.826) [Discrimination Score: 0.000; Robustness + : 0.661; Robustness - : 0.661; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.201 & Magnesium > 0.057) -> Calcium < 6.940) [Discrimination Score: -1.000; Robustness + : -6.940; Robustness - : -6.940; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 15.767) U[1,2] (SBP <= 160.976)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 1.236 & Creatinine >= 0.008) [Discrimination Score: -1.000; Robustness + : -0.008; Robustness - : -0.008; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 0.183 & HCO3 >= 2.035) [Discrimination Score: 0.000; Robustness + : -2.035; Robustness - : -2.035; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 9.062 | Hct <= 20.621) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 34.797 -> WBC >= 0.273) [Discrimination Score: 1.000; Robustness + : -34.797; Robustness - : -34.797; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 10.265 | Hct <= 8.966) -> WBC >= 0.154) & Platelets >= 1.743) [Discrimination Score: -0.500; Robustness + : -10.265; Robustness - : -10.005; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 3.472 & Potassium <= 3.178) & Magnesium >= 0.066) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 1.462 & Potassium < 0.586) & Magnesium < 0.196) & Phosphate < 2.307) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.093 & Magnesium > 0.167) -> Calcium < 4.691) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 43.545) U[0,1] (SBP <= 137.885)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 10.867 & Creatinine >= 0.023) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 2.447 & HCO3 >= 0.804) [Discrimination Score: 0.000; Robustness + : -2.447; Robustness - : -2.447; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 8.096 | Hct <= 10.293) [Discrimination Score: 0.000; Robustness + : 10.293; Robustness - : 10.293; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 133.262 -> WBC >= 0.115) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 4.244 | Hct <= 15.892) -> WBC >= 0.276) & Platelets >= 4.302) [Discrimination Score: 1.000; Robustness + : -15.892; Robustness - : -15.892; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 7.481 & Potassium <= 3.499) & Magnesium >= 0.135) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 1.821 & Potassium < 2.729) & Magnesium < 0.243) & Phosphate < 3.007) [Discrimination Score: 0.195; Robustness + : 0.174; Robustness - : 0.081; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.110 & Magnesium > 0.000) -> Calcium < 2.262) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 18.664) U[1,2] (SBP <= 133.936)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 6.847 & Creatinine >= 0.026) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 9.289 & HCO3 >= 0.983) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 3.280 | Hct <= 25.443) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 83.192 -> WBC >= 0.233) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((Hgb <= 8.802 | Hct <= 5.705) -> WBC >= 0.189) & Platelets >= 4.849) [Discrimination Score: 0.000; Robustness + : -8.802; Robustness - : -8.802; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 1.761 & Potassium <= 1.860) & Magnesium >= 0.094) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 3.097 & Potassium < 3.201) & Magnesium < 1.310) & Phosphate < 0.745) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.120 & Magnesium > 0.166) -> Calcium < 8.401) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 68.363) U[1,1] (SBP <= 140.314)) [Discrimination Score: 0.000; Robustness + : 140.314; Robustness - : 140.314; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 3.327 & Creatinine >= 0.046) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 8.143 & HCO3 >= 1.959) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 9.554 | Hct <= 10.734) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 134.024 -> WBC >= 0.293) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 8.571 | Hct <= 8.517) -> WBC >= 0.132) & Platelets >= 2.104) [Discrimination Score: 0.000; Robustness + : -8.571; Robustness - : -8.571; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.191 & Potassium <= 1.720) & Magnesium >= 0.127) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 0.967 & Potassium < 2.691) & Magnesium < 0.998) & Phosphate < 3.255) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.239 & Magnesium > 0.048) -> Calcium < 7.900) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
