G[0,0](Chloride >= 0.328 & HCO3 >= 0.446) [Discrimination Score: -0.389; Robustness + : -0.696; Robustness - : -0.375; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 8.960 | Hct <= 32.372) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 16.769 -> WBC >= 0.330) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 1.415 | Hct <= 3.468) -> WBC >= 0.308) & Platelets >= 4.210) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 4.086 & Potassium <= 1.836) & Magnesium >= 0.031) [Discrimination Score: -0.068; Robustness + : 0.155; Robustness - : 0.229; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 11.644 & Potassium < 0.694) & Magnesium < 1.300) & Phosphate < 3.009) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.071 & Magnesium > 0.054) -> Calcium < 9.165) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 60.972) U[0,1] (SBP <= 146.767)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 8.955 & Creatinine >= 0.032) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 4.278 & HCO3 >= 0.940) [Discrimination Score: 1.000; Robustness + : -4.278; Robustness - : -4.278; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 4.821 | Hct <= 8.111) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 26.460 -> WBC >= 0.102) [Discrimination Score: 1.500; Robustness + : -26.460; Robustness - : -26.460; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 2.232 | Hct <= 26.690) -> WBC >= 0.234) & Platelets >= 2.453) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 7.254 & Potassium <= 3.855) & Magnesium >= 0.066) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 2.207 & Potassium < 1.924) & Magnesium < 0.456) & Phosphate < 3.665) [Discrimination Score: -0.115; Robustness + : -0.034; Robustness - : 0.196; Percent Class + : 0.000; Percent Class - : 1.000]
