G[2,2](Chloride >= 5.871 & HCO3 >= 0.887) [Discrimination Score: 5.871; Robustness + : 0.000; Robustness - : -5.871; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 11.784 | Hct <= 30.594) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 28.585 -> WBC >= 0.327) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 13.703 | Hct <= 12.230) -> WBC >= 0.515) & Platelets >= 2.753) [Discrimination Score: 22.767; Robustness + : 0.000; Robustness - : -13.408; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 6.603 & Potassium <= 0.614) & Magnesium >= 0.178) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 4.788 & Potassium < 1.259) & Magnesium < 1.733) & Phosphate < 0.992) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.016 & Magnesium > 0.050) -> Calcium < 6.235) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 30.019) U[2,2] (SBP <= 142.131)) [Discrimination Score: -142.131; Robustness + : 0.000; Robustness - : 142.131; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 2.690 & Creatinine >= 0.034) [Discrimination Score: 0.034; Robustness + : 0.000; Robustness - : -0.034; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 6.614 & HCO3 >= 0.562) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 9.252 | Hct <= 28.146) [Discrimination Score: -7922394958106314.000; Robustness + : 0.000; Robustness - : 28.146; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 11.935 -> WBC >= 0.005) [Discrimination Score: 11.935; Robustness + : 0.000; Robustness - : -11.935; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 10.018 | Hct <= 19.658) -> WBC >= 0.690) & Platelets >= 0.815) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 6.969 & Potassium <= 1.478) & Magnesium >= 0.161) [Discrimination Score: 1.108; Robustness + : 0.000; Robustness - : -0.293; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 1.965 & Potassium < 0.727) & Magnesium < 1.609) & Phosphate < 0.367) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.195 & Magnesium > 0.085) -> Calcium < 6.754) [Discrimination Score: 6.754; Robustness + : 0.000; Robustness - : -6.754; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 1.113) U[0,0] (SBP <= 142.011)) [Discrimination Score: -68.784; Robustness + : 0.000; Robustness - : 140.986; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 5.148 & Creatinine >= 0.043) [Discrimination Score: 0.043; Robustness + : 0.000; Robustness - : -0.043; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 4.946 & HCO3 >= 0.871) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 5.977 | Hct <= 17.330) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 11.578 -> WBC >= 0.987) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 12.620 | Hct <= 41.052) -> WBC >= 0.213) & Platelets >= 0.045) [Discrimination Score: 41.052; Robustness + : 0.000; Robustness - : -41.052; Percent Class + : 1.000; Percent Class - : 0.000]
