G[0,1](Chloride >= 4.607 & HCO3 >= 3.795) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 8.945 | Hct <= 32.412) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 152.072 -> WBC >= 0.475) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 13.059 | Hct <= 18.899) -> WBC >= 0.053) & Platelets >= 36.569) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 7.430 & Potassium <= 3.557) & Magnesium >= 0.538) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 6.048 & Potassium < 3.387) & Magnesium < 1.079) & Phosphate < 1.590) [Discrimination Score: 0.483; Robustness + : 0.000; Robustness - : -10.507; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.377 & Magnesium > 0.440) -> Calcium < 6.224) [Discrimination Score: 6.224; Robustness + : 0.000; Robustness - : -6.224; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 23.259) U[2,2] (SBP <= 151.774)) [Discrimination Score: -151.774; Robustness + : 0.000; Robustness - : 151.774; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 9.260 & Creatinine >= 0.166) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 7.961 & HCO3 >= 4.437) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 6.610 | Hct <= 22.411) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 293.570 -> WBC >= 0.038) [Discrimination Score: 293.570; Robustness + : 0.000; Robustness - : -293.570; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 12.794 | Hct <= 38.376) -> WBC >= 0.124) & Platelets >= 31.265) [Discrimination Score: 38.376; Robustness + : 0.000; Robustness - : -38.376; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 8.446 & Potassium <= 1.908) & Magnesium >= 0.073) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 3.028 & Potassium < 2.128) & Magnesium < 1.720) & Phosphate < 4.148) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.003 & Magnesium > 0.310) -> Calcium < 2.520) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 74.744) U[2,2] (SBP <= 156.761)) [Discrimination Score: -156.761; Robustness + : 0.000; Robustness - : 156.761; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 5.054 & Creatinine >= 0.078) [Discrimination Score: 0.078; Robustness + : 0.000; Robustness - : -0.078; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 5.558 & HCO3 >= 2.822) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 5.314 | Hct <= 24.213) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 103.877 -> WBC >= 0.039) [Discrimination Score: 2.812; Robustness + : 0.000; Robustness - : -88.194; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 10.095 | Hct <= 27.453) -> WBC >= 0.452) & Platelets >= 67.916) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 10.543 & Potassium <= 2.266) & Magnesium >= 0.437) [Discrimination Score: 7877788727801683.000; Robustness + : 0.000; Robustness - : -0.437; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 8.015 & Potassium < 3.233) & Magnesium < 0.601) & Phosphate < 1.475) [Discrimination Score: 0.505; Robustness + : 0.000; Robustness - : -10.496; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.001 & Magnesium > 0.578) -> Calcium < 9.299) [Discrimination Score: 9.299; Robustness + : 0.000; Robustness - : -9.299; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 34.271) U[1,2] (SBP <= 133.052)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 11.626 & Creatinine >= 0.174) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 9.953 & HCO3 >= 1.823) [Discrimination Score: 9.953; Robustness + : 0.000; Robustness - : -9.953; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 8.069 | Hct <= 25.385) [Discrimination Score: -25.385; Robustness + : 0.000; Robustness - : 25.385; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 92.197 -> WBC >= 0.143) [Discrimination Score: 92.197; Robustness + : 0.000; Robustness - : -92.197; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 5.869 | Hct <= 35.373) -> WBC >= 0.038) & Platelets >= 16.592) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 4.623 & Potassium <= 1.796) & Magnesium >= 0.291) [Discrimination Score: 0.291; Robustness + : 0.000; Robustness - : -0.291; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 5.039 & Potassium < 2.605) & Magnesium < 1.308) & Phosphate < 1.144) [Discrimination Score: -1.144; Robustness + : 0.000; Robustness - : 1.144; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.343 & Magnesium > 0.456) -> Calcium < 4.727) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 53.127) U[1,1] (SBP <= 142.813)) [Discrimination Score: -142.813; Robustness + : 0.000; Robustness - : 142.813; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 4.799 & Creatinine >= 0.071) [Discrimination Score: 0.506; Robustness + : 0.000; Robustness - : -6.297; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 11.182 & HCO3 >= 4.465) [Discrimination Score: 1.996; Robustness + : 0.000; Robustness - : -8.942; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 5.559 | Hct <= 33.426) [Discrimination Score: -33.426; Robustness + : 0.000; Robustness - : 33.426; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 188.245 -> WBC >= 0.034) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 8.526 | Hct <= 33.622) -> WBC >= 0.066) & Platelets >= 34.838) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.693 & Potassium <= 3.152) & Magnesium >= 0.311) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 2.999 & Potassium < 2.646) & Magnesium < 1.430) & Phosphate < 1.265) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.574 & Magnesium > 0.223) -> Calcium < 7.298) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 14.122) U[1,2] (SBP <= 131.860)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 11.779 & Creatinine >= 0.031) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 12.177 & HCO3 >= 5.510) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 6.542 | Hct <= 37.394) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 193.445 -> WBC >= 0.337) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 5.928 | Hct <= 20.590) -> WBC >= 0.201) & Platelets >= 76.272) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 9.511 & Potassium <= 2.873) & Magnesium >= 0.055) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 5.567 & Potassium < 2.257) & Magnesium < 1.482) & Phosphate < 1.252) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
