G[1,1](Chloride >= 2.882 & HCO3 >= 1.247) [Discrimination Score: -0.000; Robustness + : -2.882; Robustness - : -2.882; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 7.079 | Hct <= 25.148) [Discrimination Score: 0.000; Robustness + : 25.148; Robustness - : 25.148; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 160.100 -> WBC >= 0.086) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 7.804 | Hct <= 11.272) -> WBC >= 0.336) & Platelets >= 5.086) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 5.939 & Potassium <= 2.752) & Magnesium >= 0.020) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 4.018 & Potassium < 3.649) & Magnesium < 2.203) & Phosphate < 0.789) [Discrimination Score: -0.000; Robustness + : 0.789; Robustness - : 0.789; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.019 & Magnesium > 0.061) -> Calcium < 4.177) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 86.699) U[0,2] (SBP <= 189.886)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 12.053 & Creatinine >= 0.049) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 2.745 & HCO3 >= 0.540) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 6.008 | Hct <= 5.063) [Discrimination Score: 7.000; Robustness + : 6.008; Robustness - : 6.008; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 37.072 -> WBC >= 0.346) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 1.754 | Hct <= 17.696) -> WBC >= 0.347) & Platelets >= 2.002) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 2.322 & Potassium <= 2.590) & Magnesium >= 0.087) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 1.906 & Potassium < 4.007) & Magnesium < 1.567) & Phosphate < 1.815) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.010 & Magnesium > 0.099) -> Calcium < 5.873) [Discrimination Score: 17.000; Robustness + : -5.873; Robustness - : -5.873; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 40.094) U[2,2] (SBP <= 152.342)) [Discrimination Score: 11.000; Robustness + : 152.342; Robustness - : 152.342; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 18.863 & Creatinine >= 0.021) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 1.380 & HCO3 >= 0.149) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 11.990 | Hct <= 30.970) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 250.129 -> WBC >= 0.025) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 11.117 | Hct <= 8.396) -> WBC >= 0.246) & Platelets >= 1.831) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 5.581 & Potassium <= 3.247) & Magnesium >= 0.076) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 7.302 & Potassium < 3.694) & Magnesium < 1.598) & Phosphate < 3.613) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
