G[2,2](Chloride >= 2.880 & HCO3 >= 0.209) [Discrimination Score: -0.000; Robustness + : -2.880; Robustness - : -2.880; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 5.629 | Hct <= 26.119) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 130.974 -> WBC >= 0.277) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 5.599 | Hct <= 29.501) -> WBC >= 0.499) & Platelets >= 10.202) [Discrimination Score: -0.209; Robustness + : -30.451; Robustness - : -29.501; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 5.368 & Potassium <= 0.589) & Magnesium >= 0.010) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 0.832 & Potassium < 2.658) & Magnesium < 0.391) & Phosphate < 1.846) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.117 & Magnesium > 0.053) -> Calcium < 4.185) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 2.970) U[2,2] (SBP <= 116.644)) [Discrimination Score: -0.000; Robustness + : 116.644; Robustness - : 116.644; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 20.289 & Creatinine >= 0.036) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 6.405 & HCO3 >= 1.994) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 3.816 | Hct <= 3.734) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 99.876 -> WBC >= 0.281) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 6.803 | Hct <= 31.220) -> WBC >= 0.873) & Platelets >= 8.940) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 6.364 & Potassium <= 2.350) & Magnesium >= 0.106) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 2.773 & Potassium < 3.702) & Magnesium < 1.727) & Phosphate < 2.298) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.290 & Magnesium > 0.091) -> Calcium < 8.328) [Discrimination Score: 0.000; Robustness + : -8.328; Robustness - : -8.328; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 55.143) U[0,2] (SBP <= 100.535)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 16.228 & Creatinine >= 0.094) [Discrimination Score: 0.209; Robustness + : 0.586; Robustness - : -0.094; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 2.528 & HCO3 >= 1.209) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 5.071 | Hct <= 6.530) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 221.903 -> WBC >= 0.598) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 6.312 | Hct <= 6.292) -> WBC >= 0.561) & Platelets >= 8.819) [Discrimination Score: 0.000; Robustness + : -8.819; Robustness - : -8.819; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 7.032 & Potassium <= 0.847) & Magnesium >= 0.054) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 2.833 & Potassium < 0.687) & Magnesium < 1.064) & Phosphate < 1.527) [Discrimination Score: 0.000; Robustness + : 0.687; Robustness - : 0.687; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((Phosphate >= 0.132 & Magnesium > 0.042) -> Calcium < 1.393) [Discrimination Score: -1.000; Robustness + : -1.393; Robustness - : -1.393; Percent Class + : 0.000; Percent Class - : 1.000]
