G[0,2](Chloride >= 4.210 & HCO3 >= 3.830) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 10.235 | Hct <= 22.026) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 193.808 -> WBC >= 2.901) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 3.317 | Hct <= 14.343) -> WBC >= 2.553) & Platelets >= 22.836) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 4.379 & Potassium <= 2.483) & Magnesium >= 0.037) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 8.062 & Potassium < 1.441) & Magnesium < 1.435) & Phosphate < 2.682) [Discrimination Score: -1.435; Robustness + : 0.000; Robustness - : 1.435; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.923 & Magnesium > 0.163) -> Calcium < 2.719) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 63.389) U[2,2] (SBP <= 130.875)) [Discrimination Score: -130.875; Robustness + : 0.000; Robustness - : 130.875; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 49.418 & Creatinine >= 0.764) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 17.260 & HCO3 >= 3.861) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 2.232 | Hct <= 18.636) [Discrimination Score: -18.636; Robustness + : 0.000; Robustness - : 18.636; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 109.216 -> WBC >= 2.505) [Discrimination Score: 109.216; Robustness + : 0.000; Robustness - : -109.216; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 9.803 | Hct <= 24.754) -> WBC >= 0.188) & Platelets >= 18.717) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.683 & Potassium <= 4.302) & Magnesium >= 0.099) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 4.538 & Potassium < 3.034) & Magnesium < 0.425) & Phosphate < 3.867) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.892 & Magnesium > 0.228) -> Calcium < 7.271) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 10.440) U[0,1] (SBP <= 121.460)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 30.019 & Creatinine >= 0.050) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 4.075 & HCO3 >= 4.132) [Discrimination Score: 2.734; Robustness + : 0.000; Robustness - : -5.321; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 3.750 | Hct <= 12.425) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 132.025 -> WBC >= 2.720) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 5.957 | Hct <= 21.402) -> WBC >= 2.824) & Platelets >= 17.391) [Discrimination Score: 0.940; Robustness + : 0.000; Robustness - : -47.072; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 4.677 & Potassium <= 1.878) & Magnesium >= 0.062) [Discrimination Score: 0.509; Robustness + : 0.000; Robustness - : -28.907; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 6.697 & Potassium < 1.951) & Magnesium < 0.884) & Phosphate < 4.597) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 1.202 & Magnesium > 0.176) -> Calcium < 5.207) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 4.459) U[0,1] (SBP <= 122.652)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
