G[0,0](Chloride >= 13.787 & HCO3 >= 3.745) [Discrimination Score: 3.703; Robustness + : 0.000; Robustness - : -12.147; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 7.768 | Hct <= 33.802) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 503.022 -> WBC >= 1.548) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 6.120 | Hct <= 14.855) -> WBC >= 0.077) & Platelets >= 10.650) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 5.352 & Potassium <= 3.490) & Magnesium >= 0.318) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((Calcium < 0.983 & Potassium < 3.427) & Magnesium < 1.312) & Phosphate < 2.230) [Discrimination Score: -2.535; Robustness + : 0.000; Robustness - : 0.761; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.271 & Magnesium > 0.292) -> Calcium < 1.417) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 17.636) U[0,0] (SBP <= 120.789)) [Discrimination Score: -7.724; Robustness + : 0.000; Robustness - : 113.445; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 12.172 & Creatinine >= 0.015) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 13.435 & HCO3 >= 4.771) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 8.279 | Hct <= 24.756) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 444.280 -> WBC >= 3.005) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 10.014 | Hct <= 14.953) -> WBC >= 1.450) & Platelets >= 5.679) [Discrimination Score: 3.115; Robustness + : 0.000; Robustness - : -17.812; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 4.117 & Potassium <= 3.378) & Magnesium >= 0.072) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 4.303 & Potassium < 3.931) & Magnesium < 1.354) & Phosphate < 1.435) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.245 & Magnesium > 0.246) -> Calcium < 4.792) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
