G[0,0](Chloride >= 7.246 & HCO3 >= 3.164) [Discrimination Score: -1.758; Robustness + : -18.164; Robustness - : -14.064; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 10.742 | Hct <= 36.405) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 118.247 -> WBC >= 7.331) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 13.728 | Hct <= 34.871) -> WBC >= 6.088) & Platelets >= 6.587) [Discrimination Score: 0.000; Robustness + : -34.871; Robustness - : -34.871; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 8.094 & Potassium <= 2.547) & Magnesium >= 0.074) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 1.990 & Potassium < 2.016) & Magnesium < 0.686) & Phosphate < 4.238) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.194 & Magnesium > 0.179) -> Calcium < 3.766) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 28.086) U[1,1] (SBP <= 55.514)) [Discrimination Score: 1.000; Robustness + : 55.514; Robustness - : 55.514; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 6.150 & Creatinine >= 0.067) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 0.216 & HCO3 >= 2.324) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 13.577 | Hct <= 38.652) [Discrimination Score: 0.000; Robustness + : 38.652; Robustness - : 38.652; Percent Class + : 0.000; Percent Class - : 1.000]
