G[2,2](Chloride >= 3.735 & HCO3 >= 0.421) [Discrimination Score: -10.000; Robustness + : -3.735; Robustness - : -3.735; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 2.150 | Hct <= 28.903) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 161.471 -> WBC >= 0.374) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 2.581 | Hct <= 20.658) -> WBC >= 0.303) & Platelets >= 19.499) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 4.613 & Potassium <= 5.857) & Magnesium >= 0.043) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 2.074 & Potassium < 4.230) & Magnesium < 2.241) & Phosphate < 3.897) [Discrimination Score: 2.000; Robustness + : 2.074; Robustness - : 2.074; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.105 & Magnesium > 0.045) -> Calcium < 5.088) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 43.309) U[0,0] (SBP <= 144.036)) [Discrimination Score: -0.461; Robustness + : 137.584; Robustness - : 144.367; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 36.923 & Creatinine >= 0.417) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 6.959 & HCO3 >= 1.242) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 2.069 | Hct <= 10.992) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 351.969 -> WBC >= 0.234) [Discrimination Score: -0.500; Robustness + : -351.969; Robustness - : -287.348; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 9.818 | Hct <= 4.784) -> WBC >= 0.150) & Platelets >= 14.093) [Discrimination Score: 0.289; Robustness + : -14.553; Robustness - : -17.064; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 4.056 & Potassium <= 1.861) & Magnesium >= 0.021) [Discrimination Score: 0.500; Robustness + : -0.021; Robustness - : -0.021; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 2.001 & Potassium < 5.323) & Magnesium < 2.161) & Phosphate < 2.139) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.283 & Magnesium > 0.054) -> Calcium < 3.697) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 40.122) U[0,1] (SBP <= 134.477)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 43.867 & Creatinine >= 0.042) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 2.505 & HCO3 >= 0.415) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 1.601 | Hct <= 29.297) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 159.246 -> WBC >= 0.173) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 5.270 | Hct <= 5.936) -> WBC >= 0.550) & Platelets >= 17.898) [Discrimination Score: 0.284; Robustness + : -18.236; Robustness - : -20.029; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 7.226 & Potassium <= 1.784) & Magnesium >= 0.005) [Discrimination Score: -0.000; Robustness + : -0.005; Robustness - : -0.005; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 3.911 & Potassium < 0.917) & Magnesium < 1.469) & Phosphate < 4.531) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.036 & Magnesium > 0.145) -> Calcium < 8.548) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 40.836) U[0,1] (SBP <= 182.108)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 56.913 & Creatinine >= 0.044) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 1.220 & HCO3 >= 1.380) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 7.387 | Hct <= 6.209) [Discrimination Score: 0.667; Robustness + : 7.387; Robustness - : 7.387; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 82.216 -> WBC >= 0.602) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 1.555 | Hct <= 24.479) -> WBC >= 0.132) & Platelets >= 11.570) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 6.514 & Potassium <= 5.398) & Magnesium >= 0.066) [Discrimination Score: -6.000; Robustness + : -0.066; Robustness - : -0.066; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 8.521 & Potassium < 6.017) & Magnesium < 0.430) & Phosphate < 5.861) [Discrimination Score: -2.667; Robustness + : 0.430; Robustness - : 0.430; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.271 & Magnesium > 0.122) -> Calcium < 5.295) [Discrimination Score: -1.500; Robustness + : -5.295; Robustness - : -5.295; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 20.781) U[1,2] (SBP <= 181.707)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 7.381 & Creatinine >= 0.253) [Discrimination Score: -2.000; Robustness + : -0.253; Robustness - : -0.253; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 7.055 & HCO3 >= 0.202) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 5.630 | Hct <= 24.794) [Discrimination Score: -6.000; Robustness + : 24.794; Robustness - : 24.794; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 79.143 -> WBC >= 0.585) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
