G[0,2](Chloride >= 3.681 & HCO3 >= 3.197) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 5.036 | Hct <= 24.975) [Discrimination Score: -24.975; Robustness + : 0.000; Robustness - : 24.975; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 60.179 -> WBC >= 0.322) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 3.129 | Hct <= 10.441) -> WBC >= 0.016) & Platelets >= 2.135) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 3.244 & Potassium <= 1.369) & Magnesium >= 0.141) [Discrimination Score: 0.525; Robustness + : 0.000; Robustness - : -8.092; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 4.473 & Potassium < 2.800) & Magnesium < 0.602) & Phosphate < 2.112) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.347 & Magnesium > 0.123) -> Calcium < 1.588) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 35.223) U[0,1] (SBP <= 87.366)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 20.779 & Creatinine >= 0.105) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 2.120 & HCO3 >= 2.214) [Discrimination Score: 2.214; Robustness + : 0.000; Robustness - : -2.214; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 4.926 | Hct <= 10.377) [Discrimination Score: -10.377; Robustness + : 0.000; Robustness - : 10.377; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 77.469 -> WBC >= 0.075) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 6.463 | Hct <= 30.859) -> WBC >= 0.230) & Platelets >= 6.393) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.153 & Potassium <= 2.353) & Magnesium >= 0.115) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 6.560 & Potassium < 2.983) & Magnesium < 1.566) & Phosphate < 1.585) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.113 & Magnesium > 0.070) -> Calcium < 3.444) [Discrimination Score: 3.444; Robustness + : 0.000; Robustness - : -3.444; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 37.214) U[0,2] (SBP <= 42.274)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 10.745 & Creatinine >= 0.040) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 12.553 & HCO3 >= 1.298) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 7.795 | Hct <= 23.914) [Discrimination Score: -23.914; Robustness + : 0.000; Robustness - : 23.914; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 55.919 -> WBC >= 0.174) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 5.563 | Hct <= 31.204) -> WBC >= 0.312) & Platelets >= 4.332) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 2.318 & Potassium <= 3.523) & Magnesium >= 0.105) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 4.569 & Potassium < 0.607) & Magnesium < 1.061) & Phosphate < 3.665) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.301 & Magnesium > 0.176) -> Calcium < 3.685) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 3.888) U[0,0] (SBP <= 67.227)) [Discrimination Score: -2.222; Robustness + : 0.000; Robustness - : 82.599; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 3.938 & Creatinine >= 0.042) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
