G[0,0](SMBGperDayPtMeterCombo >= 11.754 & BGTestAvgNumPtRep >= 3.664) [Discrimination Score: 14.000; Robustness + : 10.336; Robustness - : -3.664; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 6.109 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 100.698 -> BUN >= 10.156) [Discrimination Score: -0.198; Robustness + : -101.021; Robustness - : -100.992; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 4.014 | bmi >= 7.067) -> UnitsInsBasalOrLongAct <= 18.681) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 2.025) U[0,2] (BGTestAvgNumPtRep <= 9.146)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 11.624 & BGTestAvgNumPtRep >= 7.688) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 5.985 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 94.381 -> BUN >= 10.429) [Discrimination Score: 0.000; Robustness + : -94.381; Robustness - : -94.381; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 36.862 | bmi >= 8.293) -> UnitsInsBasalOrLongAct <= 17.712) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 4.941) U[1,2] (BGTestAvgNumPtRep <= 9.091)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](SMBGperDayPtMeterCombo >= 10.129 & BGTestAvgNumPtRep >= 1.688) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 6.123 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 57.104 -> BUN >= 2.780) [Discrimination Score: 0.000; Robustness + : -57.104; Robustness - : -57.104; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 48.378 | bmi >= 6.182) -> UnitsInsBasalOrLongAct <= 17.771) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.404) U[0,1] (BGTestAvgNumPtRep <= 9.172)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 11.424 & BGTestAvgNumPtRep >= 3.241) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](HbA1c >= 5.944 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 75.979 -> BUN >= 4.130) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 31.712 | bmi >= 8.915) -> UnitsInsBasalOrLongAct <= 14.501) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 6.503) U[0,1] (BGTestAvgNumPtRep <= 10.264)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](SMBGperDayPtMeterCombo >= 10.318 & BGTestAvgNumPtRep >= 0.243) [Discrimination Score: 14.000; Robustness + : 13.757; Robustness - : -0.243; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](HbA1c >= 5.937 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 94.989 -> BUN >= 11.261) [Discrimination Score: -0.198; Robustness + : -95.312; Robustness - : -95.283; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 29.351 | bmi >= 8.333) -> UnitsInsBasalOrLongAct <= 15.104) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.447) U[1,1] (BGTestAvgNumPtRep <= 9.306)) [Discrimination Score: 0.000; Robustness + : 9.306; Robustness - : 9.306; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 10.241 & BGTestAvgNumPtRep >= 6.933) [Discrimination Score: 0.000; Robustness + : -10.241; Robustness - : -10.241; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](HbA1c >= 6.198 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 60.861 -> BUN >= 3.473) [Discrimination Score: 0.000; Robustness + : -60.861; Robustness - : -60.861; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 58.926 | bmi >= 16.653) -> UnitsInsBasalOrLongAct <= 13.738) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 7.809) U[1,1] (BGTestAvgNumPtRep <= 11.726)) [Discrimination Score: 0.000; Robustness + : 11.726; Robustness - : 11.726; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 11.793 & BGTestAvgNumPtRep >= 2.075) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 6.218 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 77.123 -> BUN >= 7.409) [Discrimination Score: 0.000; Robustness + : -77.123; Robustness - : -77.123; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 9.536 | bmi >= 21.167) -> UnitsInsBasalOrLongAct <= 16.900) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 6.919) U[0,1] (BGTestAvgNumPtRep <= 11.881)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 11.564 & BGTestAvgNumPtRep >= 8.401) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 6.046 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 86.065 -> BUN >= 10.389) [Discrimination Score: -0.198; Robustness + : -86.388; Robustness - : -86.359; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 12.033 | bmi >= 12.692) -> UnitsInsBasalOrLongAct <= 13.623) [Discrimination Score: 0.000; Robustness + : -13.623; Robustness - : -13.623; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.567) U[1,1] (BGTestAvgNumPtRep <= 9.590)) [Discrimination Score: 0.000; Robustness + : 9.590; Robustness - : 9.590; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 11.473 & BGTestAvgNumPtRep >= 7.070) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 6.079 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 60.253 -> BUN >= 8.621) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1]((WeightKg >= 13.997 | bmi >= 22.187) -> UnitsInsBasalOrLongAct <= 14.761) [Discrimination Score: 0.000; Robustness + : -14.761; Robustness - : -14.761; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 6.824) U[1,1] (BGTestAvgNumPtRep <= 9.090)) [Discrimination Score: 0.000; Robustness + : 9.090; Robustness - : 9.090; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 10.826 & BGTestAvgNumPtRep >= 2.661) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 6.158 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](GFR <= 71.696 -> BUN >= 11.160) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 6.009 | bmi >= 4.826) -> UnitsInsBasalOrLongAct <= 18.662) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 2.418) U[0,2] (BGTestAvgNumPtRep <= 9.297)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
