G[1,1](SMBGperDayPtMeterCombo >= 3.132 & BGTestAvgNumPtRep >= 0.394) [Discrimination Score: 0.000; Robustness + : -3.132; Robustness - : -3.132; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 7.494 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 51.222 -> BUN >= 19.105) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 46.769 | bmi >= 1.487) -> UnitsInsBasalOrLongAct <= 24.981) [Discrimination Score: 0.000; Robustness + : -24.981; Robustness - : -24.981; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 3.863) U[1,1] (BGTestAvgNumPtRep <= 9.985)) [Discrimination Score: 0.000; Robustness + : 9.985; Robustness - : 9.985; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 3.291 & BGTestAvgNumPtRep >= 2.786) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 7.799 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 56.118 -> BUN >= 15.625) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 12.023 | bmi >= 5.143) -> UnitsInsBasalOrLongAct <= 23.978) [Discrimination Score: 0.000; Robustness + : -23.978; Robustness - : -23.978; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 4.101) U[0,1] (BGTestAvgNumPtRep <= 8.944)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 3.987 & BGTestAvgNumPtRep >= 0.556) [Discrimination Score: 0.000; Robustness + : -3.987; Robustness - : -3.987; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](HbA1c >= 7.651 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 63.700 -> BUN >= 19.123) [Discrimination Score: -2.876; Robustness + : -64.198; Robustness - : -64.154; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 45.237 | bmi >= 2.169) -> UnitsInsBasalOrLongAct <= 24.878) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 4.195) U[2,2] (BGTestAvgNumPtRep <= 7.231)) [Discrimination Score: 0.000; Robustness + : 7.231; Robustness - : 7.231; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](SMBGperDayPtMeterCombo >= 3.803 & BGTestAvgNumPtRep >= 3.903) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](HbA1c >= 7.822 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 61.422 -> BUN >= 15.048) [Discrimination Score: 0.000; Robustness + : -61.422; Robustness - : -61.422; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0]((WeightKg >= 18.492 | bmi >= 11.902) -> UnitsInsBasalOrLongAct <= 23.666) [Discrimination Score: -3.000; Robustness + : -23.666; Robustness - : -20.666; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 3.071) U[0,1] (BGTestAvgNumPtRep <= 8.639)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 3.418 & BGTestAvgNumPtRep >= 2.327) [Discrimination Score: 0.000; Robustness + : -3.418; Robustness - : -3.418; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 7.826 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](GFR <= 67.699 -> BUN >= 18.292) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 5.739 | bmi >= 9.962) -> UnitsInsBasalOrLongAct <= 18.242) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 3.588) U[0,2] (BGTestAvgNumPtRep <= 5.490)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 3.562 & BGTestAvgNumPtRep >= 0.621) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 7.783 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 62.027 -> BUN >= 9.335) [Discrimination Score: 0.000; Robustness + : -62.027; Robustness - : -62.027; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 47.667 | bmi >= 2.521) -> UnitsInsBasalOrLongAct <= 17.851) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 4.268) U[0,2] (BGTestAvgNumPtRep <= 7.548)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 3.988 & BGTestAvgNumPtRep >= 2.386) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 7.332 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](GFR <= 78.325 -> BUN >= 16.157) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 26.806 | bmi >= 4.367) -> UnitsInsBasalOrLongAct <= 18.612) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 4.143) U[0,0] (BGTestAvgNumPtRep <= 7.563)) [Discrimination Score: 5.431; Robustness + : 19.857; Robustness - : 3.563; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 3.040 & BGTestAvgNumPtRep >= 2.152) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 7.553 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
