G[0,0](SMBGperDayPtMeterCombo >= 4.811 & BGTestAvgNumPtRep >= 1.783) [Discrimination Score: -1.800; Robustness + : 0.717; Robustness - : 5.217; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](HbA1c >= 3.004 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 0.000 -> BUN >= 1.004) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 19.681 | bmi >= 12.772) -> UnitsInsBasalOrLongAct <= 18.142) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.093) U[0,1] (BGTestAvgNumPtRep <= 9.433)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](SMBGperDayPtMeterCombo >= 1.635 & BGTestAvgNumPtRep >= 3.103) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 1.481 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 0.000 -> BUN >= 3.612) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 23.789 | bmi >= 15.544) -> UnitsInsBasalOrLongAct <= 17.206) [Discrimination Score: 0.000; Robustness + : -17.206; Robustness - : -17.206; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 1.014) U[1,2] (BGTestAvgNumPtRep <= 9.104)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](SMBGperDayPtMeterCombo >= 1.277 & BGTestAvgNumPtRep >= 1.451) [Discrimination Score: -1.800; Robustness + : 1.049; Robustness - : 5.549; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 5.671 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](GFR <= 0.000 -> BUN >= 3.111) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1]((WeightKg >= 21.252 | bmi >= 13.097) -> UnitsInsBasalOrLongAct <= 16.119) [Discrimination Score: 0.000; Robustness + : -16.119; Robustness - : -16.119; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 3.413) U[0,0] (BGTestAvgNumPtRep <= 8.494)) [Discrimination Score: 13.805; Robustness + : 9.040; Robustness - : 1.494; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](SMBGperDayPtMeterCombo >= 0.616 & BGTestAvgNumPtRep >= 0.936) [Discrimination Score: -1.800; Robustness + : 1.564; Robustness - : 6.064; Percent Class + : 1.000; Percent Class - : 0.000]
