G[0,0](SMBGperDayPtMeterCombo >= 4.227 & BGTestAvgNumPtRep >= 2.090) [Discrimination Score: 1.510; Robustness + : 2.577; Robustness - : -2.090; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 9.214 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 0.000 -> BUN >= 0.838) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 14.599 | bmi >= 18.313) -> UnitsInsBasalOrLongAct <= 18.647) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.030) U[0,1] (BGTestAvgNumPtRep <= 3.182)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 4.491 & BGTestAvgNumPtRep >= 1.912) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 8.828 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 0.000 -> BUN >= 1.561) [Discrimination Score: -1.277; Robustness + : -51.159; Robustness - : 0.695; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0]((WeightKg >= 44.137 | bmi >= 5.861) -> UnitsInsBasalOrLongAct <= 29.110) [Discrimination Score: 0.707; Robustness + : -26.177; Robustness - : -29.110; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 2.649) U[0,1] (BGTestAvgNumPtRep <= 2.287)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 3.457 & BGTestAvgNumPtRep >= 0.842) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 9.642 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
