G[1,1](SMBGperDayPtMeterCombo >= 0.624 & BGTestAvgNumPtRep >= 1.697) [Discrimination Score: 0.000; Robustness + : -1.697; Robustness - : -1.697; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 9.445 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 0.000 -> BUN >= 0.579) [Discrimination Score: 1.826; Robustness + : -14.896; Robustness - : -41.421; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 15.642 | bmi >= 6.728) -> UnitsInsBasalOrLongAct <= 19.394) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.270) U[0,1] (BGTestAvgNumPtRep <= 4.355)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 0.251 & BGTestAvgNumPtRep >= 0.451) [Discrimination Score: 0.000; Robustness + : -0.451; Robustness - : -0.451; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 9.062 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 0.000 -> BUN >= 1.320) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 10.570 | bmi >= 1.393) -> UnitsInsBasalOrLongAct <= 20.614) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 1.749) U[2,2] (BGTestAvgNumPtRep <= 4.963)) [Discrimination Score: 0.000; Robustness + : 4.963; Robustness - : 4.963; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](SMBGperDayPtMeterCombo >= 0.098 & BGTestAvgNumPtRep >= 2.441) [Discrimination Score: 0.000; Robustness + : -2.441; Robustness - : -2.441; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 9.427 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 0.000 -> BUN >= 6.449) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 25.697 | bmi >= 13.913) -> UnitsInsBasalOrLongAct <= 17.646) [Discrimination Score: 0.000; Robustness + : -17.646; Robustness - : -17.646; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 1.021) U[1,2] (BGTestAvgNumPtRep <= 4.115)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 2.221 & BGTestAvgNumPtRep >= 2.169) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 9.626 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 0.000 -> BUN >= 7.329) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
