,Initial Rule Trees
0,"(tte <= ?) U[?,?] (LOS >= ?)"
1,"(direct >= ?) U[?,?] (MET >= ?)"
2,"(O2_Flow >= ?) U[?,?] (y <= ?)"
3,"(LOS >= ?) U[?,?] (ALT_GPT >= ?)"
4,"(Pulse >= ?) U[?,?] (MET >= ?)"
5,"G[?,?](n_evts >= ? -> y <= ?)"
6,"(MET <= ?) U[?,?] (Pulse <= ?)"
7,"(lds >= ?) U[?,?] (ALT_GPT >= ?)"
8,"(direct >= ?) U[?,?] (CHLORIDE >= ?)"
9,"(SBP >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
10,"(O2_Flow <= ?) U[?,?] (Temp >= ?)"
11,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
12,"(ICU_Pt_Days <= ?) U[?,?] (MET >= ?)"
13,"(AST_GOT >= ?) U[?,?] (MET >= ?)"
14,"F[?,?](ICU_Pt_Days >= ? & LOS >= ?)"
15,"(Temp >= ?) U[?,?] (n_evts >= ?)"
16,"G[?,?](LOS <= ? | ICU_Pt_Days <= ?)"
17,"(ALT_GPT >= ?) U[?,?] (Temp <= ?)"
18,"(AST_GOT >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
19,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (ICU_Pt_Days >= ?)"
20,"(CHLORIDE >= ?) U[?,?] (ALBUMIN >= ?)"
21,"(O2_Flow <= ?) U[?,?] (Resp <= ?)"
22,"(CALCIUM >= ?) U[?,?] (O2_Flow >= ?)"
23,"(Resp <= ?) U[?,?] (ALT_GPT >= ?)"
24,"G[?,?](PROTIME_INR <= ? | LOS >= ?)"
25,"(direct <= ?) U[?,?] (tte <= ?)"
26,"(AST_GOT >= ?) U[?,?] (SBP <= ?)"
27,"(n_evts >= ?) U[?,?] (direct <= ?)"
28,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (AST_GOT >= ?)"
29,"(CHLORIDE >= ?) U[?,?] (MET <= ?)"
30,"(direct >= ?) U[?,?] (LOS >= ?)"
31,"(SpO2 <= ?) U[?,?] (Pulse <= ?)"
32,"(ICU_Pt_Days >= ?) U[?,?] (SBP <= ?)"
33,"G[?,?](tte <= ? -> death <= ?)"
34,"G[?,?](LOS >= ? | Mort <= ?)"
35,"(Mort >= ?) U[?,?] (Mort >= ?)"
36,"(Pulse >= ?) U[?,?] (ALBUMIN >= ?)"
37,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (AST_GOT >= ?)"
38,"(direct <= ?) U[?,?] (direct <= ?)"
39,"(CALCIUM >= ?) U[?,?] (SBP <= ?)"
40,"(direct <= ?) U[?,?] (ICU_Pt_Days >= ?)"
41,"(direct >= ?) U[?,?] (SpO2 <= ?)"
42,"(AST_GOT >= ?) U[?,?] (ICU_Pt_Days >= ?)"
43,"G[?,?](edrk <= ? -> n_evts <= ?)"
44,"(Temp <= ?) U[?,?] (MET <= ?)"
45,"(Temp >= ?) U[?,?] (ALBUMIN >= ?)"
46,"(ALT_GPT >= ?) U[?,?] (MET >= ?)"
47,"(y >= ?) U[?,?] (LOS <= ?)"
48,"(Pulse >= ?) U[?,?] (death >= ?)"
49,"(death >= ?) U[?,?] (Mort <= ?)"
50,"(CALCIUM >= ?) U[?,?] (ICU_Pt_Days >= ?)"
51,"(tte >= ?) U[?,?] (tte >= ?)"
52,"(Mort <= ?) U[?,?] (Temp <= ?)"
53,"(direct <= ?) U[?,?] (SpO2 >= ?)"
54,"F[?,?](ICU_Pt_Days <= ? & LOS <= ?)"
55,"(y >= ?) U[?,?] (Pulse <= ?)"
56,"(SpO2 >= ?) U[?,?] (Temp <= ?)"
57,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (SBP >= ?)"
58,"(Pulse >= ?) U[?,?] (Temp <= ?)"
59,"(death >= ?) U[?,?] (SBP <= ?)"
60,"F[?,?](ICU_Pt_Days <= ? & LOS >= ?)"
61,"G[?,?](LOS <= ? | n_evts >= ?)"
62,"(SpO2 <= ?) U[?,?] (CALCIUM >= ?)"
63,"(CHLORIDE >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
64,"(ALBUMIN >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
65,"(Pulse >= ?) U[?,?] (direct <= ?)"
66,"(y <= ?) U[?,?] (death <= ?)"
67,"(Temp >= ?) U[?,?] (tte >= ?)"
68,"G[?,?](ICU_Pt_Days >= ? -> n_evts >= ?)"
69,"(LOS >= ?) U[?,?] (AST_GOT >= ?)"
70,"G[?,?](ICU_Pt_Days >= ? -> ICU_Pt_Days <= ?)"
71,"(Temp >= ?) U[?,?] (ALT_GPT >= ?)"
72,"G[?,?](Mort >= ? -> y <= ?)"
73,"(LOS >= ?) U[?,?] (tte <= ?)"
74,"(Resp >= ?) U[?,?] (CALCIUM >= ?)"
75,"(MET >= ?) U[?,?] (direct <= ?)"
76,"(SpO2 >= ?) U[?,?] (tte <= ?)"
77,"(n_evts <= ?) U[?,?] (AST_GOT >= ?)"
78,"G[?,?](Mort <= ? | n_evts <= ?)"
79,"(tte >= ?) U[?,?] (LOS <= ?)"
80,"(Temp >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
81,"(direct <= ?) U[?,?] (MET <= ?)"
