,Missed Client Rules
0,"((AF <= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
1,"((AF <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
2,"((AF <= 0.000) U[0,0] (LOS >= 0.000))"
3,"((AF <= 0.000) U[0,0] (O2_Flow >= 0.000))"
4,"((AF <= 0.000) U[0,0] (cosen <= 0.000))"
5,"((AF <= 0.000) U[0,0] (direct >= 0.000))"
6,"((AF <= 0.000) U[0,0] (hr >= 0.000))"
7,"((AF <= 0.000) U[0,0] (n_evts >= 0.000))"
8,"((AF <= 0.000) U[0,0] (tte <= 0.000))"
9,"((AF <= 0.000) U[0,0] (y >= 0.000))"
10,"((AF >= 0.000) U[0,0] (AF <= 0.000))"
11,"((AF >= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
12,"((AF >= 0.000) U[0,0] (ICU_Pt_Days <= 0.000))"
13,"((AF >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
14,"((AF >= 0.000) U[0,0] (Mort >= 0.000))"
15,"((AF >= 0.000) U[0,0] (O2_Flow >= 0.000))"
16,"((AF >= 0.000) U[0,0] (Pulse <= 0.000))"
17,"((AF >= 0.000) U[0,0] (direct >= 0.000))"
18,"((AF >= 0.000) U[0,0] (edrk <= 0.000))"
19,"((AF >= 0.000) U[0,0] (n_edrk <= 0.000))"
20,"((AF >= 0.000) U[0,0] (n_evts <= 0.000))"
21,"((AF >= 0.000) U[0,0] (n_evts >= 0.000))"
22,"((AF >= 0.000) U[0,0] (s8_hr >= 0.000))"
23,"((AF >= 0.000) U[0,0] (y >= 0.000))"
24,"((ALKALINE_PHOSPHATASE <= 0.000) U[0,0] (y >= 0.000))"
25,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (n_edrk <= 0.000))"
26,"((CALCIUM <= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
27,"((CALCIUM <= 0.000) U[0,0] (O2_Flow >= 0.000))"
28,"((CALCIUM <= 0.000) U[0,0] (death >= 0.000))"
29,"((CALCIUM <= 0.000) U[0,0] (tte <= 0.000))"
30,"((CALCIUM <= 0.000) U[0,0] (y >= 0.000))"
31,"((CALCIUM >= 0.000) U[0,0] (n_edrk <= 0.000))"
