,Non Rules
0,"((Sgy > 0.000) U[0,0] (Mort > 0.000))"
1,"((death > 0.000) U[0,0] (Resp = 0.000))"
2,"((Temp = 0.000) U[0,0] (SBP = 0.000))"
3,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((Sgy > 0.000) U[0,0] (SpO2 = 0.000))"
5,"((SpO2 > 0.000) U[0,0] (Pulse = 0.000))"
6,"G[0,0]((ICU_Pt_Days > 0.000 | LOS < 0.000))"
7,"((direct > 0.000) U[0,0] (death > 0.000))"
8,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((Pulse = 0.000) U[0,0] (MET = 0.000))"
10,"((n_evts = 0.000) U[0,0] (direct > 0.000))"
11,"((tte > 0.000) U[0,0] (Pulse = 0.000))"
12,"((Mort < 0.000) U[0,0] (MET < 0.000))"
13,"((Mort > 0.000) U[0,0] (tte < 0.000))"
14,"((Pulse = 0.000) U[0,0] (LOS = 0.000))"
15,"((Resp = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
16,"((MET > 0.000) U[0,0] (CHLORIDE = 0.000))"
17,"((LOS = 0.000) U[0,0] (MET > 0.000))"
18,"((Mort != 0.000) U[0,0] (death = 0.000))"
19,"((SBP = 0.000) U[0,0] (SBP > 0.000))"
20,"((y > 0.000) U[0,0] (death = 0.000))"
21,"((Mort < 0.000) U[0,0] (LOS > 0.000))"
22,"((Mort < 0.000) U[0,0] (O2_Flow = 0.000))"
23,"((MET = 0.000) U[0,0] (Pulse = 0.000))"
24,"((Resp = 0.000) U[0,0] (SBP > 0.000))"
