,Non Rules
0,"F[0,0]((PLATELET_COUNT = 0.000 & Pulse = 0.000))"
1,"F[0,0]((TROPONIN_I = 0.000 & ICU_Pt_Days = 0.000))"
2,"F[0,0]((GLUCOSE = 0.000 & Glasgow_Coma_Scale_Total = 0.000))"
3,"F[0,0]((O2_Flow = 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
4,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & PHOSPHORUS = 0.000))"
5,"F[0,0]((n_evts > 0.000 & CREATININE = 0.000))"
6,"F[0,0]((ICU_Pt_Days = 0.000 & PHOSPHORUS = 0.000))"
7,"F[0,0]((GLUCOSE = 0.000 & PLATELET_COUNT = 0.000))"
8,"F[0,0]((PLATELET_COUNT = 0.000 & ALKALINE_PHOSPHATASE = 0.000))"
9,"F[0,0]((ICU_Pt_Days = 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
10,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & y = 0.000))"
11,"F[0,0]((PHOSPHORUS = 0.000 & SBP > 0.000))"
12,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & Pulse = 0.000))"
13,"F[0,0]((n_evts = 0.000 & death > 0.000))"
14,"F[0,0]((HEMOGLOBIN = 0.000 & y = 0.000))"
15,"F[0,0]((cosen = 0.000 & Mort = 0.000))"
16,"F[0,0]((PLATELET_COUNT = 0.000 & death > 0.000))"
17,"F[0,0]((death > 0.000 & POTASSIUM = 0.000))"
18,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 & ICU_Pt_Days > 0.000))"
19,"F[0,0]((TROPONIN_I = 0.000 & SBP > 0.000))"
20,"F[0,0]((HEMOGLOBIN = 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
21,"F[0,0]((LOS = 0.000 & O2_Flow = 0.000))"
22,"F[0,0]((s2_edrk = 0.000 & POTASSIUM = 0.000))"
23,"F[0,0]((cosen = 0.000 & SBP > 0.000))"
24,"F[0,0]((y > 0.000 & PLATELET_COUNT = 0.000))"
25,"F[0,0]((O2_Flow = 0.000 & WHITE_BLOOD_CELL_COUNT = 0.000))"
26,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & Mort = 0.000))"
27,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 & n_evts = 0.000))"
28,"F[0,0]((y > 0.000 & O2_Flow = 0.000))"
29,"F[0,0]((AF = 0.000 & CREATININE = 0.000))"
30,"F[0,0]((hr = 0.000 & Glasgow_Coma_Scale_Total = 0.000))"
31,"F[0,0]((TROPONIN_I = 0.000 & n_evts = 0.000))"
