,Non Rules
0,"((MET > 0.000) U[0,0] (Pulse = 0.000))"
1,"((Resp = 0.000) U[0,0] (n_evts > 0.000))"
2,"((MET = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
3,"((LOS = 0.000) U[0,0] (Mort < 0.000))"
4,"((death > 0.000) U[0,0] (direct > 0.000))"
5,"((Mort > 0.000) U[0,0] (Mort > 0.000))"
6,"((Mort = 0.000) U[0,0] (Resp = 0.000))"
7,"((ICU_Pt_Days > 0.000) U[0,0] (LOS = 0.000))"
8,"((MET > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
9,"((direct > 0.000) U[0,0] (Mort < 0.000))"
10,"((Mort < 0.000) U[0,0] (AST_GOT = 0.000))"
11,"((death > 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
12,"((Resp = 0.000) U[0,0] (tte < 0.000))"
13,"((Mort < 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
14,"((HEMOGLOBIN < 0.000) U[0,0] (tte < 0.000))"
15,"((Mort < 0.000) U[0,0] (ALBUMIN = 0.000))"
16,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
17,"((n_evts > 0.000) U[0,0] (ALBUMIN = 0.000))"
18,"((Mort < 0.000) U[0,0] (death < 0.000))"
19,"((HEMOGLOBIN < 0.000) U[0,0] (Resp > 0.000))"
20,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
21,"((MET > 0.000) U[0,0] (Mort > 0.000))"
22,"((LOS = 0.000) U[0,0] (Resp = 0.000))"
23,"((MET > 0.000) U[0,0] (ALBUMIN = 0.000))"
24,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (Resp > 0.000))"
25,"((Resp = 0.000) U[0,0] (Sgy > 0.000))"
26,"((MET = 0.000) U[0,0] (O2_Flow = 0.000))"
27,"((SBP = 0.000) U[0,0] (O2_Flow = 0.000))"
28,"((Resp = 0.000) U[0,0] (Pulse = 0.000))"
29,"((MET = 0.000) U[0,0] (tte = 0.000))"
30,"((ICU_Pt_Days > 0.000) U[0,0] (MET = 0.000))"
31,"F[0,0]((LOS = 0.000 & LOS > 0.000))"
32,"((HEMOGLOBIN < 0.000) U[0,0] (y > 0.000))"
33,"((SBP = 0.000) U[0,0] (AST_GOT = 0.000))"
34,"((ICU_Pt_Days = 0.000) U[0,0] (Mort > 0.000))"
35,"((n_evts = 0.000) U[0,0] (Pulse = 0.000))"
36,"((Mort < 0.000) U[0,0] (direct > 0.000))"
37,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (Mort = 0.000))"
38,"((n_evts > 0.000) U[0,0] (O2_Flow = 0.000))"
39,"((tte = 0.000) U[0,0] (Resp > 0.000))"
40,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Temp = 0.000))"
