,Non Rules
0,"((n_evts < 0.000) U[0,0] (SpO2 = 0.000))"
1,"((Mort = 0.000) U[0,0] (LOS = 0.000))"
2,"((Resp = 0.000) U[0,0] (n_evts > 0.000))"
3,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
4,"((MET > 0.000) U[0,0] (n_evts = 0.000))"
5,"((y = 0.000) U[0,0] (y > 0.000))"
6,"((LOS = 0.000) U[0,0] (Mort > 0.000))"
7,"((ALBUMIN = 0.000) U[0,0] (direct = 0.000))"
8,"((death < 0.000) U[0,0] (SpO2 = 0.000))"
9,"((death < 0.000) U[0,0] (Mort < 0.000))"
10,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (SpO2 = 0.000))"
11,"((y = 0.000) U[0,0] (SpO2 = 0.000))"
12,"((n_evts < 0.000) U[0,0] (death > 0.000))"
13,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
14,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death > 0.000))"
15,"G[0,0]((LOS = 0.000 & LOS > 0.000))"
16,"((Mort < 0.000) U[0,0] (LOS = 0.000))"
17,"((Resp = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
18,"((ICU_Pt_Days = 0.000) U[0,0] (MET = 0.000))"
19,"((direct = 0.000) U[0,0] (direct = 0.000))"
20,"((n_evts = 0.000) U[0,0] (Pulse = 0.000))"
21,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort < 0.000))"
22,"((ALBUMIN = 0.000) U[0,0] (death > 0.000))"
23,"((LOS > 0.000) U[0,0] (Mort > 0.000))"
24,"((LOS = 0.000) U[0,0] (tte = 0.000))"
