,Non Rules
0,"((MET = 0.000) U[0,0] (tte > 0.000))"
1,"((y = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
2,"((y > 0.000) U[0,0] (tte > 0.000))"
3,"((LOS = 0.000) U[0,0] (Pulse = 0.000))"
4,"((direct > 0.000) U[0,0] (tte = 0.000))"
5,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts = 0.000))"
6,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
7,"((y > 0.000) U[0,0] (MET > 0.000))"
8,"((death > 0.000) U[0,0] (death > 0.000))"
9,"((MET = 0.000) U[0,0] (LOS > 0.000))"
10,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
11,"((MET = 0.000) U[0,0] (MET > 0.000))"
12,"((n_evts = 0.000) U[0,0] (y > 0.000))"
13,"((tte > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
14,"((n_evts > 0.000) U[0,0] (Pulse = 0.000))"
15,"((direct > 0.000) U[0,0] (MET > 0.000))"
16,"((LOS > 0.000) U[0,0] (LOS = 0.000))"
17,"((n_evts = 0.000) U[0,0] (y = 0.000))"
18,"((tte > 0.000) U[0,0] (tte > 0.000))"
19,"((ICU_Pt_Days > 0.000) U[0,0] (tte = 0.000))"
20,"((Mort > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
