,Non Rules
0,"((ALBUMIN = 0.000) U[0,0] (death < 0.000))"
1,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
2,"((tte = 0.000) U[0,0] (CHLORIDE = 0.000))"
3,"((n_evts < 0.000) U[0,0] (n_evts = 0.000))"
4,"((y > 0.000) U[0,0] (SpO2 > 0.000))"
5,"((LOS > 0.000) U[0,0] (Pulse = 0.000))"
6,"((LOS > 0.000) U[0,0] (tte > 0.000))"
7,"((Mort = 0.000) U[0,0] (death < 0.000))"
8,"((HEMOGLOBIN = 0.000) U[0,0] (LOS = 0.000))"
9,"((direct > 0.000) U[0,0] (tte > 0.000))"
10,"((tte > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
11,"((MET = 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
12,"((direct = 0.000) U[0,0] (Mort < 0.000))"
13,"((Mort > 0.000) U[0,0] (tte < 0.000))"
14,"((n_evts < 0.000) U[0,0] (n_evts > 0.000))"
15,"((LOS = 0.000) U[0,0] (MET > 0.000))"
16,"((tte = 0.000) U[0,0] (MET > 0.000))"
17,"((CALCIUM = 0.000) U[0,0] (tte < 0.000))"
18,"((Sgy = 0.000) U[0,0] (n_evts = 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (LOS > 0.000))"
