,Non Rules
0,"G[0,0]((LOS < 0.000 -> Mort = 0.000))"
1,"G[0,0]((ICU_Pt_Days = 0.000 & MAGNESIUM = 0.000))"
2,"G[0,0]((SBP < 0.000 & O2_Flow = 0.000))"
3,"G[0,0]((y = 0.000 & MAGNESIUM = 0.000))"
4,"G[0,0]((n_edrk > 0.000 -> n_evts = 0.000))"
5,"G[0,0]((y = 0.000 -> Temp < 0.000))"
6,"G[0,0]((n_edrk > 0.000 -> n_evts < 0.000))"
7,"G[0,0]((LOS != 0.000 -> Mort = 0.000))"
8,"G[0,0]((n_edrk > 0.000 -> ICU_Pt_Days = 0.000))"
9,"G[0,0]((death < 0.000 -> direct < 0.000))"
10,"G[0,0]((n_evts < 0.000 & SpO2 = 0.000))"
11,"G[0,0]((LOS = 0.000 & CALCIUM = 0.000))"
12,"G[0,0]((ICU_Pt_Days = 0.000 -> n_evts < 0.000))"
