,Non Rules
0,"((LOS > 0.000) U[0,0] (ALT_GPT > 0.000))"
1,"((CHLORIDE = 0.000) U[0,0] (MET > 0.000))"
2,"((CO2 = 0.000) U[0,0] (SBP > 0.000))"
3,"((direct > 0.000) U[0,0] (CREATININE = 0.000))"
4,"((Sgy > 0.000) U[0,0] (LOS > 0.000))"
5,"((SpO2 = 0.000) U[0,0] (death > 0.000))"
6,"((n_evts = 0.000) U[0,0] (death = 0.000))"
7,"((Temp > 0.000) U[0,0] (AST_GOT = 0.000))"
8,"((MET = 0.000) U[0,0] (tte > 0.000))"
9,"((ICU_Pt_Days > 0.000) U[0,0] (MET > 0.000))"
10,"((Temp > 0.000) U[0,0] (MET < 0.000))"
11,"((ICU_Pt_Days < 0.000) U[0,0] (tte < 0.000))"
12,"((death > 0.000) U[0,0] (MET = 0.000))"
13,"((tte = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
14,"((Mort > 0.000) U[0,0] (Mort < 0.000))"
15,"((death = 0.000) U[0,0] (edrk = 0.000))"
16,"((direct > 0.000) U[0,0] (MET < 0.000))"
17,"((LOS > 0.000) U[0,0] (tte < 0.000))"
18,"((SpO2 = 0.000) U[0,0] (SpO2 = 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
20,"((death > 0.000) U[0,0] (y = 0.000))"
21,"((O2_Flow = 0.000) U[0,0] (Pulse < 0.000))"
22,"((ICU_Pt_Days = 0.000) U[0,0] (MET > 0.000))"
23,"((MET = 0.000) U[0,0] (edrk = 0.000))"
24,"((direct > 0.000) U[0,0] (tte > 0.000))"
25,"((tte < 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
26,"((Sgy > 0.000) U[0,0] (edrk = 0.000))"
27,"((death = 0.000) U[0,0] (Mort > 0.000))"
28,"((LOS > 0.000) U[0,0] (tte = 0.000))"
29,"((MET = 0.000) U[0,0] (SpO2 = 0.000))"
30,"((CO2 = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
31,"((CHLORIDE = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
32,"((n_evts = 0.000) U[0,0] (MET = 0.000))"
33,"((Temp > 0.000) U[0,0] (CREATININE = 0.000))"
34,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (y = 0.000))"
35,"((Mort > 0.000) U[0,0] (SpO2 = 0.000))"
36,"((death = 0.000) U[0,0] (y = 0.000))"
37,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death < 0.000))"
38,"((Sgy > 0.000) U[0,0] (lds < 0.000))"
39,"((n_evts > 0.000) U[0,0] (MET = 0.000))"
40,"((ICU_Pt_Days > 0.000) U[0,0] (tte > 0.000))"
41,"((SpO2 = 0.000) U[0,0] (death < 0.000))"
42,"((CHLORIDE = 0.000) U[0,0] (Mort = 0.000))"
43,"((O2_Flow = 0.000) U[0,0] (O2_Flow = 0.000))"
44,"((ICU_Pt_Days < 0.000) U[0,0] (tte > 0.000))"
45,"((y > 0.000) U[0,0] (Mort > 0.000))"
46,"((SpO2 = 0.000) U[0,0] (direct < 0.000))"
47,"((LOS > 0.000) U[0,0] (LOS = 0.000))"
48,"((Sgy > 0.000) U[0,0] (MET < 0.000))"
49,"((n_evts = 0.000) U[0,0] (death > 0.000))"
50,"((n_evts = 0.000) U[0,0] (y = 0.000))"
51,"((Temp > 0.000) U[0,0] (MET = 0.000))"
52,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (O2_Flow < 0.000))"
53,"((LOS > 0.000) U[0,0] (direct < 0.000))"
54,"((direct > 0.000) U[0,0] (direct < 0.000))"
55,"((Sgy > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
56,"((y > 0.000) U[0,0] (edrk = 0.000))"
57,"((tte = 0.000) U[0,0] (MET = 0.000))"
