,Non Rules
0,"((Resp = 0.000) U[0,0] (tte > 0.000))"
1,"((tte < 0.000) U[0,0] (direct > 0.000))"
2,"((SBP > 0.000) U[0,0] (Sgy > 0.000))"
3,"((direct > 0.000) U[0,0] (CALCIUM = 0.000))"
4,"((Resp = 0.000) U[0,0] (Mort > 0.000))"
5,"((Mort < 0.000) U[0,0] (tte = 0.000))"
6,"((O2_Flow > 0.000) U[0,0] (Sgy > 0.000))"
7,"((LOS = 0.000) U[0,0] (SBP > 0.000))"
8,"((Temp = 0.000) U[0,0] (ALBUMIN > 0.000))"
9,"((MET = 0.000) U[0,0] (CHLORIDE = 0.000))"
10,"((death < 0.000) U[0,0] (n_evts = 0.000))"
11,"((direct > 0.000) U[0,0] (death < 0.000))"
12,"((SpO2 > 0.000) U[0,0] (Mort > 0.000))"
13,"((Resp = 0.000) U[0,0] (Mort = 0.000))"
14,"((Resp > 0.000) U[0,0] (Temp > 0.000))"
15,"((LOS = 0.000) U[0,0] (MET = 0.000))"
16,"((y = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
17,"((direct = 0.000) U[0,0] (Sgy > 0.000))"
18,"((SpO2 > 0.000) U[0,0] (LOS = 0.000))"
19,"F[0,0]((LOS = 0.000 & LOS > 0.000))"
20,"((POTASSIUM < 0.000) U[0,0] (Resp > 0.000))"
21,"G[0,0]((LOS > 0.000 & LOS = 0.000))"
