,Non Rules
0,"((CALCIUM = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
1,"((tte < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
2,"((death = 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
3,"((death < 0.000) U[0,0] (n_evts > 0.000))"
4,"((Sgy > 0.000) U[0,0] (tte > 0.000))"
5,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
6,"((LOS = 0.000) U[0,0] (Mort > 0.000))"
7,"((death > 0.000) U[0,0] (MET = 0.000))"
8,"((tte < 0.000) U[0,0] (SBP = 0.000))"
9,"((tte > 0.000) U[0,0] (LOS = 0.000))"
10,"((n_evts = 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
11,"((direct > 0.000) U[0,0] (Mort > 0.000))"
12,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (death > 0.000))"
13,"((MET = 0.000) U[0,0] (direct = 0.000))"
14,"((tte = 0.000) U[0,0] (y = 0.000))"
15,"((CHLORIDE = 0.000) U[0,0] (direct = 0.000))"
16,"((n_evts < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
17,"((y = 0.000) U[0,0] (direct > 0.000))"
18,"((LOS > 0.000) U[0,0] (tte = 0.000))"
19,"((MET = 0.000) U[0,0] (n_evts > 0.000))"
20,"((n_evts = 0.000) U[0,0] (MET > 0.000))"
21,"((Temp > 0.000) U[0,0] (n_evts = 0.000))"
22,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (LOS = 0.000))"
23,"((Temp > 0.000) U[0,0] (n_evts < 0.000))"
24,"((Mort = 0.000) U[0,0] (direct = 0.000))"
25,"((n_evts > 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
26,"((CHLORIDE = 0.000) U[0,0] (tte = 0.000))"
