,Non Rules
0,"((ICU_Pt_Days > 0.000) U[0,0] (death = 0.000))"
1,"((y = 0.000) U[0,0] (y > 0.000))"
2,"((y > 0.000) U[0,0] (tte > 0.000))"
3,"((LOS = 0.000) U[0,0] (Mort > 0.000))"
4,"((ICU_Pt_Days < 0.000) U[0,0] (hr = 0.000))"
5,"((direct > 0.000) U[0,0] (Mort > 0.000))"
6,"((ICU_Pt_Days = 0.000) U[0,0] (death > 0.000))"
7,"((tte = 0.000) U[0,0] (LOS > 0.000))"
8,"((tte < 0.000) U[0,0] (LOS > 0.000))"
9,"((tte > 0.000) U[0,0] (LOS > 0.000))"
10,"((SBP = 0.000) U[0,0] (LOS = 0.000))"
11,"((ICU_Pt_Days = 0.000) U[0,0] (tte = 0.000))"
12,"((direct > 0.000) U[0,0] (y > 0.000))"
13,"((Resp < 0.000) U[0,0] (MET = 0.000))"
14,"((tte = 0.000) U[0,0] (tte > 0.000))"
15,"((tte < 0.000) U[0,0] (direct = 0.000))"
16,"((ICU_Pt_Days < 0.000) U[0,0] (CALCIUM = 0.000))"
17,"((ICU_Pt_Days > 0.000) U[0,0] (tte > 0.000))"
18,"((y > 0.000) U[0,0] (death = 0.000))"
19,"((tte > 0.000) U[0,0] (y > 0.000))"
