,Non Rules
0,"((O2_Flow = 0.000) U[0,0] (Mort = 0.000))"
1,"((Mort > 0.000) U[0,0] (O2_Flow = 0.000))"
2,"((y = 0.000) U[0,0] (death = 0.000))"
3,"((O2_Flow > 0.000) U[0,0] (Mort < 0.000))"
4,"((Resp = 0.000) U[0,0] (SpO2 = 0.000))"
5,"((Temp > 0.000) U[0,0] (Temp = 0.000))"
6,"((LOS = 0.000) U[0,0] (MET > 0.000))"
7,"((n_edrk > 0.000) U[0,0] (n_evts = 0.000))"
8,"((Mort = 0.000) U[0,0] (CALCIUM = 0.000))"
9,"((death = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
10,"((Sgy > 0.000) U[0,0] (MET < 0.000))"
11,"((O2_Flow = 0.000) U[0,0] (tte > 0.000))"
12,"((O2_Flow > 0.000) U[0,0] (CALCIUM = 0.000))"
13,"((n_evts < 0.000) U[0,0] (Pulse = 0.000))"
14,"((death < 0.000) U[0,0] (Temp = 0.000))"
15,"((LOS = 0.000) U[0,0] (tte = 0.000))"
16,"((O2_Flow = 0.000) U[0,0] (n_evts > 0.000))"
17,"((LOS = 0.000) U[0,0] (Pulse = 0.000))"
18,"((death = 0.000) U[0,0] (n_evts = 0.000))"
19,"((Sgy > 0.000) U[0,0] (LOS > 0.000))"
20,"((O2_Flow > 0.000) U[0,0] (direct < 0.000))"
21,"((O2_Flow > 0.000) U[0,0] (Mort = 0.000))"
22,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts < 0.000))"
