,Non Rules
0,"((death != 0.000) U[0,0] (O2_Flow > 0.000))"
1,"((CO2 > 0.000) U[0,0] (MET > 0.000))"
2,"((LOS = 0.000) U[0,0] (LOS > 0.000))"
3,"((O2_Flow > 0.000) U[0,0] (Resp > 0.000))"
4,"((death != 0.000) U[0,0] (MET > 0.000))"
5,"((death != 0.000) U[0,0] (LOS > 0.000))"
6,"((LACTIC_ACID != 0.000) U[0,0] (y > 0.000))"
7,"((s8_hr = 0.000) U[0,0] (O2_Flow > 0.000))"
8,"((s8_hr = 0.000) U[0,0] (Resp > 0.000))"
9,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts > 0.000))"
10,"((LOS != 0.000) U[0,0] (MET > 0.000))"
11,"((POTASSIUM > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
12,"((s8_hr = 0.000) U[0,0] (Mort > 0.000))"
13,"((POTASSIUM > 0.000) U[0,0] (y > 0.000))"
14,"((CO2 = 0.000) U[0,0] (y > 0.000))"
15,"((dfa = 0.000) U[0,0] (Resp > 0.000))"
16,"((CO2 = 0.000) U[0,0] (Mort > 0.000))"
17,"((Pulse = 0.000) U[0,0] (n_evts > 0.000))"
18,"((POTASSIUM > 0.000) U[0,0] (Mort > 0.000))"
19,"((CREATININE = 0.000) U[0,0] (y > 0.000))"
20,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (y > 0.000))"
21,"((edrk = 0.000) U[0,0] (n_evts > 0.000))"
22,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (direct > 0.000))"
23,"((CHLORIDE = 0.000) U[0,0] (Resp > 0.000))"
24,"((HEMOGLOBIN = 0.000) U[0,0] (Mort > 0.000))"
25,"((Mort = 0.000) U[0,0] (Resp > 0.000))"
26,"((hr > 0.000) U[0,0] (LOS > 0.000))"
27,"((ICU_Pt_Days != 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
28,"((Pulse = 0.000) U[0,0] (direct > 0.000))"
29,"((death > 0.000) U[0,0] (MET > 0.000))"
30,"((death != 0.000) U[0,0] (Resp > 0.000))"
