,Non Rules
0,"((y = 0.000) U[0,0] (MET > 0.000))"
1,"((af < 0.000) U[0,0] (MET > 0.000))"
2,"((death > 0.000) U[0,0] (direct > 0.000))"
3,"((Resp = 0.000) U[0,0] (Mort > 0.000))"
4,"((s24_hr < 0.000) U[0,0] (death > 0.000))"
5,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
6,"((ALKALINE_PHOSPHATASE < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
7,"((AF = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
8,"((death = 0.000) U[0,0] (y > 0.000))"
9,"((af = 0.000) U[0,0] (death > 0.000))"
10,"((n_edrk = 0.000) U[0,0] (y > 0.000))"
11,"((O2_Flow > 0.000) U[0,0] (n_evts > 0.000))"
12,"((O2_Flow > 0.000) U[0,0] (LOS > 0.000))"
13,"((s24_edrk > 0.000) U[0,0] (LOS > 0.000))"
14,"((y > 0.000) U[0,0] (y > 0.000))"
15,"((direct > 0.000) U[0,0] (n_evts > 0.000))"
16,"((AF = 0.000) U[0,0] (LOS > 0.000))"
17,"((PLATELET_COUNT < 0.000) U[0,0] (y > 0.000))"
18,"((n_edrk < 0.000) U[0,0] (LOS > 0.000))"
19,"((n_edrk > 0.000) U[0,0] (Mort > 0.000))"
20,"((ALKALINE_PHOSPHATASE < 0.000) U[0,0] (tte > 0.000))"
21,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
22,"((CREATININE > 0.000) U[0,0] (y > 0.000))"
23,"((Pulse = 0.000) U[0,0] (n_evts > 0.000))"
24,"((PLATELET_COUNT = 0.000) U[0,0] (direct > 0.000))"
25,"((CALCIUM > 0.000) U[0,0] (tte > 0.000))"
26,"((death = 0.000) U[0,0] (death > 0.000))"
27,"((MET = 0.000) U[0,0] (MET > 0.000))"
28,"((O2_Flow < 0.000) U[0,0] (tte > 0.000))"
29,"((O2_Flow > 0.000) U[0,0] (MET > 0.000))"
30,"((HEMOGLOBIN > 0.000) U[0,0] (direct > 0.000))"
31,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
32,"((CALCIUM = 0.000) U[0,0] (death > 0.000))"
33,"((s8_hr < 0.000) U[0,0] (LOS > 0.000))"
34,"((HEMOGLOBIN < 0.000) U[0,0] (n_evts > 0.000))"
35,"((Pulse < 0.000) U[0,0] (death > 0.000))"
36,"((n_edrk < 0.000) U[0,0] (MET > 0.000))"
37,"((tte < 0.000) U[0,0] (y > 0.000))"
38,"((s24_hr < 0.000) U[0,0] (LOS > 0.000))"
39,"((POTASSIUM = 0.000) U[0,0] (tte > 0.000))"
40,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (death > 0.000))"
