,Non Rules
0,"((n_evts = 0.000) U[0,0] (SpO2 > 0.000))"
1,"((ALBUMIN = 0.000) U[0,0] (y > 0.000))"
2,"((n_evts > 0.000) U[0,0] (n_evts = 0.000))"
3,"((tte = 0.000) U[0,0] (Sgy = 0.000))"
4,"((Pulse = 0.000) U[0,0] (tte = 0.000))"
5,"((death > 0.000) U[0,0] (death < 0.000))"
6,"((MET > 0.000) U[0,0] (n_evts = 0.000))"
7,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Pulse = 0.000))"
8,"((death > 0.000) U[0,0] (SBP > 0.000))"
9,"((ALBUMIN = 0.000) U[0,0] (CALCIUM = 0.000))"
10,"((MET > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
11,"((Resp > 0.000) U[0,0] (death < 0.000))"
12,"((SpO2 = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
13,"((n_evts > 0.000) U[0,0] (CALCIUM = 0.000))"
14,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts < 0.000))"
15,"((Mort = 0.000) U[0,0] (tte < 0.000))"
16,"((death = 0.000) U[0,0] (CHLORIDE = 0.000))"
17,"((ALBUMIN = 0.000) U[0,0] (direct = 0.000))"
