,Non Rules
0,"((Mort = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
1,"((death = 0.000) U[0,0] (n_evts = 0.000))"
2,"((HEMOGLOBIN = 0.000) U[0,0] (Mort < 0.000))"
3,"((death > 0.000) U[0,0] (n_evts > 0.000))"
4,"((ICU_Pt_Days = 0.000) U[0,0] (death < 0.000))"
5,"((Resp = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
6,"((Resp = 0.000) U[0,0] (Mort > 0.000))"
7,"((SBP = 0.000) U[0,0] (tte = 0.000))"
8,"((HEMOGLOBIN = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
10,"((death > 0.000) U[0,0] (MET = 0.000))"
11,"((Mort > 0.000) U[0,0] (Sgy > 0.000))"
12,"((n_evts = 0.000) U[0,0] (n_evts > 0.000))"
13,"((Mort = 0.000) U[0,0] (Mort > 0.000))"
14,"((LOS > 0.000) U[0,0] (Mort = 0.000))"
15,"((y = 0.000) U[0,0] (death > 0.000))"
16,"((MET > 0.000) U[0,0] (n_evts > 0.000))"
17,"((HEMOGLOBIN = 0.000) U[0,0] (death > 0.000))"
18,"((CALCIUM = 0.000) U[0,0] (SpO2 = 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (tte < 0.000))"
20,"((SpO2 = 0.000) U[0,0] (MET > 0.000))"
21,"((SpO2 = 0.000) U[0,0] (death = 0.000))"
22,"((direct = 0.000) U[0,0] (n_evts < 0.000))"
23,"((Resp = 0.000) U[0,0] (SpO2 = 0.000))"
24,"((MET > 0.000) U[0,0] (SpO2 = 0.000))"
25,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
26,"((death = 0.000) U[0,0] (Mort > 0.000))"
27,"((SpO2 = 0.000) U[0,0] (n_evts = 0.000))"
28,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
29,"((ICU_Pt_Days = 0.000) U[0,0] (tte = 0.000))"
30,"((Mort > 0.000) U[0,0] (MET > 0.000))"
31,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death > 0.000))"
32,"((MET = 0.000) U[0,0] (tte = 0.000))"
33,"((death = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
34,"((HEMOGLOBIN = 0.000) U[0,0] (Mort > 0.000))"
35,"((SBP = 0.000) U[0,0] (Sgy > 0.000))"
36,"((n_evts = 0.000) U[0,0] (y = 0.000))"
37,"((Sgy = 0.000) U[0,0] (n_evts = 0.000))"
38,"((ICU_Pt_Days > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
