,Non Rules
0,"((Resp = 0.000) U[0,0] (MET > 0.000))"
1,"((CALCIUM = 0.000) U[0,0] (death < 0.000))"
2,"((n_evts < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
3,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
4,"((CALCIUM = 0.000) U[0,0] (n_evts = 0.000))"
5,"((y = 0.000) U[0,0] (death = 0.000))"
6,"((SBP > 0.000) U[0,0] (tte > 0.000))"
7,"((ALBUMIN > 0.000) U[0,0] (Temp = 0.000))"
8,"((n_evts < 0.000) U[0,0] (tte > 0.000))"
9,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
10,"((MET = 0.000) U[0,0] (LOS = 0.000))"
11,"((Mort > 0.000) U[0,0] (Mort = 0.000))"
12,"((Mort > 0.000) U[0,0] (direct > 0.000))"
13,"((MET > 0.000) U[0,0] (direct = 0.000))"
14,"((y = 0.000) U[0,0] (n_evts > 0.000))"
15,"((ICU_Pt_Days > 0.000) U[0,0] (death = 0.000))"
16,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death < 0.000))"
17,"((tte < 0.000) U[0,0] (direct = 0.000))"
18,"((ALBUMIN > 0.000) U[0,0] (n_evts = 0.000))"
19,"((Temp = 0.000) U[0,0] (Sgy = 0.000))"
20,"((death = 0.000) U[0,0] (LOS < 0.000))"
21,"((Mort > 0.000) U[0,0] (Sgy = 0.000))"
22,"((SpO2 = 0.000) U[0,0] (tte > 0.000))"
23,"((CALCIUM = 0.000) U[0,0] (Mort > 0.000))"
24,"((CALCIUM = 0.000) U[0,0] (LOS = 0.000))"
25,"((MET > 0.000) U[0,0] (tte = 0.000))"
26,"G[0,0]((LOS = 0.000 & ICU_Pt_Days > 0.000))"
27,"((HEMOGLOBIN > 0.000) U[0,0] (n_evts > 0.000))"
