,Non Rules
0,"((n_evts > 0.000) U[0,0] (n_evts > 0.000))"
1,"((CREATININE = 0.000) U[0,0] (tte > 0.000))"
2,"((CHLORIDE = 0.000) U[0,0] (Temp < 0.000))"
3,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (tte < 0.000))"
4,"((CHLORIDE = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
5,"((Pulse = 0.000) U[0,0] (n_evts = 0.000))"
6,"((y = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
7,"((MET > 0.000) U[0,0] (tte < 0.000))"
8,"((MET > 0.000) U[0,0] (n_evts = 0.000))"
9,"((y > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
10,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts < 0.000))"
11,"((SpO2 > 0.000) U[0,0] (SBP = 0.000))"
12,"((CHLORIDE = 0.000) U[0,0] (O2_Flow = 0.000))"
13,"((hr = 0.000) U[0,0] (LOS > 0.000))"
14,"((direct > 0.000) U[0,0] (O2_Flow = 0.000))"
15,"((Temp > 0.000) U[0,0] (Mort < 0.000))"
16,"((SpO2 = 0.000) U[0,0] (Mort > 0.000))"
17,"((O2_Flow = 0.000) U[0,0] (Mort = 0.000))"
18,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (Temp < 0.000))"
19,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (SpO2 = 0.000))"
20,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Temp < 0.000))"
21,"((Temp > 0.000) U[0,0] (Mort > 0.000))"
22,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (direct < 0.000))"
23,"((y = 0.000) U[0,0] (SpO2 = 0.000))"
24,"((HEMOGLOBIN = 0.000) U[0,0] (O2_Flow = 0.000))"
25,"((tte > 0.000) U[0,0] (Temp < 0.000))"
26,"((CALCIUM = 0.000) U[0,0] (ALBUMIN > 0.000))"
27,"((PLATELET_COUNT = 0.000) U[0,0] (Temp < 0.000))"
28,"((hr = 0.000) U[0,0] (direct < 0.000))"
29,"((SpO2 > 0.000) U[0,0] (Mort < 0.000))"
30,"((PLATELET_COUNT = 0.000) U[0,0] (n_evts = 0.000))"
31,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
32,"((tte > 0.000) U[0,0] (MET > 0.000))"
33,"((POTASSIUM = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
34,"((CREATININE = 0.000) U[0,0] (n_evts < 0.000))"
35,"((n_evts > 0.000) U[0,0] (MET = 0.000))"
36,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
37,"((CALCIUM = 0.000) U[0,0] (n_evts < 0.000))"
38,"((direct > 0.000) U[0,0] (MET > 0.000))"
39,"((TOTAL_PROTEIN = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
40,"((SpO2 = 0.000) U[0,0] (tte < 0.000))"
41,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
42,"((Pulse = 0.000) U[0,0] (direct < 0.000))"
43,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Mort < 0.000))"
44,"((LOS > 0.000) U[0,0] (Temp < 0.000))"
45,"((Temp > 0.000) U[0,0] (Mort = 0.000))"
46,"((LOS > 0.000) U[0,0] (LOS = 0.000))"
47,"((SpO2 > 0.000) U[0,0] (death = 0.000))"
48,"((death = 0.000) U[0,0] (direct < 0.000))"
49,"((hr = 0.000) U[0,0] (tte > 0.000))"
50,"((hr = 0.000) U[0,0] (SpO2 = 0.000))"
