,Non Rules
0,"((direct = 0.000) U[0,0] (death = 0.000))"
1,"((Mort < 0.000) U[0,0] (tte = 0.000))"
2,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
3,"((Pulse = 0.000) U[0,0] (O2_Flow = 0.000))"
4,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (n_evts > 0.000))"
5,"((Sgy = 0.000) U[0,0] (Resp = 0.000))"
6,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts = 0.000))"
7,"((Sgy = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
8,"((O2_Flow = 0.000) U[0,0] (MET > 0.000))"
9,"((ALT_GPT = 0.000) U[0,0] (n_evts < 0.000))"
10,"((tte = 0.000) U[0,0] (y = 0.000))"
11,"((ALT_GPT = 0.000) U[0,0] (death = 0.000))"
12,"((ALT_GPT = 0.000) U[0,0] (O2_Flow = 0.000))"
13,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (y = 0.000))"
14,"((LOS > 0.000) U[0,0] (Resp = 0.000))"
15,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
16,"((O2_Flow = 0.000) U[0,0] (Resp = 0.000))"
17,"((SBP = 0.000) U[0,0] (O2_Flow = 0.000))"
18,"((MET > 0.000) U[0,0] (Resp = 0.000))"
19,"((ALT_GPT = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
20,"((O2_Flow = 0.000) U[0,0] (O2_Flow = 0.000))"
21,"((n_evts > 0.000) U[0,0] (y > 0.000))"
22,"((CHLORIDE = 0.000) U[0,0] (Resp = 0.000))"
23,"((Mort < 0.000) U[0,0] (O2_Flow = 0.000))"
24,"((ICU_Pt_Days > 0.000) U[0,0] (y = 0.000))"
25,"((CHLORIDE = 0.000) U[0,0] (tte = 0.000))"
