Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"F[0,1](n_evts >= 0.018 & s2_edrk <= 0.004)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,14,0,0,101,14,101,14,1.0,1.0,0.0,1.0,1.0,0.0
"F[0,1](n_evts >= 0.069 & s2_hr >= -0.001)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,14,0,0,101,14,101,14,1.0,1.0,0.0,1.0,1.0,0.0
"F[0,1](MET <= 0.754 -> n_evts >= 0.109)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,14,0,0,101,14,101,14,1.0,1.0,0.0,1.0,1.0,0.0
"F[0,1](n_evts >= 0.106 & SBP <= 145.705)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,14,0,0,101,14,101,14,1.0,1.0,0.0,1.0,1.0,0.0
"F[0,1](direct >= 0.013 | ICU_Pt_Days >= 0.331)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,13,1,0,101,14,102,13,1.0,0.9285714285714286,0.07142857142857142,0.9901960784313726,0.991304347826087,0.008695652173912993
"F[0,1](ICU_Pt_Days >= 0.328 | MET >= 0.011)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,13,1,0,101,14,102,13,1.0,0.9285714285714286,0.07142857142857142,0.9901960784313726,0.991304347826087,0.008695652173912993
"((edrk <= 35.093) U[0,0] (LOS >= 0.327))
",-0.383,15.643,18.071,0.000,1.000,101,13,1,0,101,14,102,13,1.0,0.9285714285714286,0.07142857142857142,0.9901960784313726,0.991304347826087,0.008695652173912993
"((direct <= 0.919) U[0,1] (y >= 0.030))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,11,3,0,101,14,104,11,1.0,0.7857142857142857,0.21428571428571427,0.9711538461538461,0.9739130434782609,0.02608695652173909
"((s8_hr >= -0.000) U[0,0] (tte <= -0.022))
",-0.505,0.000,0.669,0.000,1.000,101,11,3,0,101,14,104,11,1.0,0.7857142857142857,0.21428571428571427,0.9711538461538461,0.9739130434782609,0.02608695652173909
"F[0,1](edrk <= 22.588 & tte <= -0.008)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,10,4,0,101,14,105,10,1.0,0.7142857142857143,0.2857142857142857,0.9619047619047619,0.9652173913043478,0.034782608695652195
"((LOS >= 0.224) U[1,2] (O2_Flow <= 3.037))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,10,1,3,104,11,102,13,0.9711538461538461,0.9090909090909091,0.09090909090909091,0.9901960784313726,0.9652173913043478,0.034782608695652195
"F[0,1](Mort < 0.670 -> y = 0.302)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,9,5,0,101,14,106,9,1.0,0.6428571428571429,0.35714285714285715,0.9528301886792453,0.9565217391304348,0.04347826086956519
"((death >= 0.004) U[0,0] (y >= 0.046))
",-1.154,-0.004,0.549,0.000,1.000,101,9,5,0,101,14,106,9,1.0,0.6428571428571429,0.35714285714285715,0.9528301886792453,0.9565217391304348,0.04347826086956519
"F[1,1](s2_edrk >= -0.008 & y >= 0.029)
",-1.155,-0.029,-0.008,0.000,1.000,101,9,5,0,101,14,106,9,1.0,0.6428571428571429,0.35714285714285715,0.9528301886792453,0.9565217391304348,0.04347826086956519
"((srr <= 0.160) U[0,0] (y >= 0.048))
",-0.711,0.126,0.452,0.000,1.000,101,9,5,0,101,14,106,9,1.0,0.6428571428571429,0.35714285714285715,0.9528301886792453,0.9565217391304348,0.04347826086956519
"F[0,0](Pulse <= 110.817 & y >= 0.076)
",-0.866,-0.076,0.352,0.000,1.000,101,7,7,0,101,14,108,7,1.0,0.5,0.5,0.9351851851851852,0.9391304347826087,0.060869565217391286
"F[1,1](Mort <= 0.846 & tte <= -0.047)
",-0.241,-0.047,0.021,0.000,1.000,101,7,7,0,101,14,108,7,1.0,0.5,0.5,0.9351851851851852,0.9391304347826087,0.060869565217391286
"F[0,1](ICU_Pt_Days <= 2.940 & Mort >= 5.7252969384476465e-06)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,6,8,0,101,14,109,6,1.0,0.42857142857142855,0.5714285714285714,0.926605504587156,0.9304347826086956,0.06956521739130439
"((af <= 0.353) U[0,1] (Glasgow_Coma_Scale_Total <= 14.974))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,5,9,0,101,14,110,5,1.0,0.35714285714285715,0.6428571428571429,0.9181818181818182,0.9217391304347826,0.07826086956521738
"F[0,1](Glasgow_Coma_Scale_Total <= 14.979 & LOS >= 0.616)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,5,9,0,101,14,110,5,1.0,0.35714285714285715,0.6428571428571429,0.9181818181818182,0.9217391304347826,0.07826086956521738
"((Mort >= 0.015) U[1,2] (Resp <= 20.623))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,5,6,3,104,11,107,8,0.9711538461538461,0.45454545454545453,0.5454545454545454,0.9439252336448598,0.9217391304347826,0.07826086956521738
"((direct >= 0.037) U[1,2] (Mort <= 0.543))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,5,2,7,108,7,103,12,0.9351851851851852,0.7142857142857143,0.2857142857142857,0.9805825242718447,0.9217391304347826,0.07826086956521738
"((Glasgow_Coma_Scale_Total <= 14.981) U[1,1] (Resp <= 21.662))
",-0.159,3.342,3.993,0.000,1.000,101,4,10,0,101,14,111,4,1.0,0.2857142857142857,0.7142857142857143,0.9099099099099099,0.9130434782608695,0.08695652173913049
"((direct >= 0.017) U[1,2] (tte >= -0.488))
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,3,2,9,110,5,103,12,0.9181818181818182,0.6,0.4,0.9805825242718447,0.9043478260869565,0.09565217391304348
"F[0,1](Temp >= 35.896 -> y = 0.229)
",0.000,-9999999.000,-9999999.000,0.000,1.000,101,3,11,0,101,14,112,3,1.0,0.21428571428571427,0.7857142857142857,0.9017857142857143,0.9043478260869565,0.09565217391304348
"F[1,1](s24_edrk < 0.002 -> y = 0.008)
",-0.582,-0.002,-0.001,0.000,1.000,101,3,11,0,101,14,112,3,1.0,0.21428571428571427,0.7857142857142857,0.9017857142857143,0.9043478260869565,0.09565217391304348
"F[0,0](direct <= 0.543 & MET >= 0.013)
",0.866,-0.013,-0.203,0.000,1.000,101,2,12,0,101,14,113,2,1.0,0.14285714285714285,0.8571428571428571,0.8938053097345132,0.8956521739130435,0.10434782608695647
"F[0,0](MET < 0.113 -> y = 0.596)
",3.000,-0.113,-0.113,0.000,1.000,101,2,12,0,101,14,113,2,1.0,0.14285714285714285,0.8571428571428571,0.8938053097345132,0.8956521739130435,0.10434782608695647
"F[0,0](s2_edrk < 0.002 -> y = 0.486)
",-0.262,-0.002,-0.001,0.000,1.000,100,2,12,1,101,14,112,3,0.9900990099009901,0.14285714285714285,0.8571428571428571,0.8928571428571429,0.8869565217391304,0.11304347826086958
"((SBP < 175.887) U[1,1] (y = 0.176))
",-0.826,47.027,71.172,0.000,1.000,101,0,14,0,101,14,115,0,1.0,0.0,1.0,0.8782608695652174,0.8782608695652174,0.12173913043478257
