Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR,Class
"G[0,1](n_evts <= 0.278 & s2_hr >= -0.004)
",0.000,9999999.000,9999999.000,1.000,0.000,65,14,0,0,65,14,65,14,1.0,1.0,0.0,1.0,1.0,0.0,1
"G[0,0](n_evts <= 0.990 & Temp <= 37.308)
",1.881,0.424,-0.010,1.000,0.000,65,14,0,0,65,14,65,14,1.0,1.0,0.0,1.0,1.0,0.0,1
"((ICU_Pt_Days <= 4.257) U[0,1] (n_evts >= 0.042))
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,14,0,0,65,14,65,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"((n_edrk >= 0.534) U[0,0] (n_evts >= 0.020))
",-5.294,0.432,0.980,0.000,1.000,65,14,0,0,65,14,65,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"((LOS >= 1.482) U[0,0] (n_evts >= 0.006))
",-1.549,-0.006,4.300,0.000,1.000,65,14,0,0,65,14,65,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"((n_evts >= 0.019) U[1,2] (Pulse <= 112.488))
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,12,0,2,67,12,65,14,0.9701492537313433,1.0,0.0,1.0,0.9746835443037974,0.025316455696202556,-1
"((af <= 0.185) U[1,1] (LOS >= 1.362))
",-1.455,0.185,4.352,0.000,1.000,65,12,2,0,65,14,67,12,1.0,0.8571428571428571,0.14285714285714285,0.9701492537313433,0.9746835443037974,0.025316455696202556,-1
"((LOS >= 1.069) U[1,2] (tte >= -1.709))
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,12,0,2,67,12,65,14,0.9701492537313433,1.0,0.0,1.0,0.9746835443037974,0.025316455696202556,-1
"G[1,1](lds >= 1.249 -> TROPONIN_I >= 0.354)
",-1.064,-0.423,-0.029,1.000,0.000,64,12,2,1,65,14,66,13,0.9846153846153847,0.8571428571428571,0.14285714285714285,0.9696969696969697,0.9620253164556962,0.03797468354430378,1
"F[0,0](Temp <= 37.297 -> tte <= -0.047)
",0.552,-0.413,-1.188,0.000,1.000,65,11,3,0,65,14,68,11,1.0,0.7857142857142857,0.21428571428571427,0.9558823529411765,0.9620253164556962,0.03797468354430378,-1
"F[1,1](TROPONIN_I > 0.272 -> y = 0.797)
",-5.331,-0.485,0.207,0.000,1.000,62,14,0,3,65,14,62,17,0.9538461538461539,1.0,0.0,1.0,0.9620253164556962,0.03797468354430378,-1
"F[0,0](n_edrk >= 0.165 -> tte <= -0.137)
",0.154,-0.797,-0.995,0.000,1.000,64,11,3,1,65,14,67,12,0.9846153846153847,0.7857142857142857,0.21428571428571427,0.9552238805970149,0.9493670886075949,0.05063291139240511,-1
"F[0,1](O2_Flow <= 6.942 -> TROPONIN_I <= 0.632)
",0.000,-9999999.000,-9999999.000,0.000,1.000,61,14,0,4,65,14,61,18,0.9384615384615385,1.0,0.0,1.0,0.9493670886075949,0.05063291139240511,-1
"F[1,1](death <= 0.964 & LOS >= 1.741)
",-3.142,-0.741,0.679,0.000,1.000,65,10,4,0,65,14,69,10,1.0,0.7142857142857143,0.2857142857142857,0.9420289855072463,0.9493670886075949,0.05063291139240511,-1
"((Mort <= 0.587) U[0,0] (TROPONIN_I <= 0.668))
",-3.873,0.588,0.608,0.000,1.000,61,14,0,4,65,14,61,18,0.9384615384615385,1.0,0.0,1.0,0.9493670886075949,0.05063291139240511,-1
"F[0,1](MET >= 0.003 | TROPONIN_I <= 0.737)
",0.000,-9999999.000,-9999999.000,0.000,1.000,61,14,0,4,65,14,61,18,0.9384615384615385,1.0,0.0,1.0,0.9493670886075949,0.05063291139240511,-1
"G[0,1](direct <= 0.474 & SpO2 >= 85.485)
",0.000,9999999.000,9999999.000,1.000,0.000,65,10,4,0,65,14,69,10,1.0,0.7142857142857143,0.2857142857142857,0.9420289855072463,0.9493670886075949,0.05063291139240511,1
"F[0,1](TROPONIN_I >= 0.473 -> y >= 0.050)
",0.000,-9999999.000,-9999999.000,0.000,1.000,61,14,0,4,65,14,61,18,0.9384615384615385,1.0,0.0,1.0,0.9493670886075949,0.05063291139240511,-1
"F[0,0](s2_edrk <= 0.004 -> y >= 0.059)
",1.149,-0.004,-0.538,0.000,1.000,65,9,5,0,65,14,70,9,1.0,0.6428571428571429,0.35714285714285715,0.9285714285714286,0.9367088607594937,0.06329113924050633,-1
"F[0,0](n_evts >= 0.143 & y >= 0.099)
",-1.247,-0.143,0.447,0.000,1.000,65,9,5,0,65,14,70,9,1.0,0.6428571428571429,0.35714285714285715,0.9285714285714286,0.9367088607594937,0.06329113924050633,-1
"G[0,1](SBP <= 170.534 & y <= 0.275)
",0.000,9999999.000,9999999.000,1.000,0.000,65,9,5,0,65,14,70,9,1.0,0.6428571428571429,0.35714285714285715,0.9285714285714286,0.9367088607594937,0.06329113924050633,1
"F[0,1](s2_hr <= 0.003 -> tte <= -0.114)
",0.000,-9999999.000,-9999999.000,0.000,1.000,64,9,5,1,65,14,69,10,0.9846153846153847,0.6428571428571429,0.35714285714285715,0.927536231884058,0.9240506329113924,0.07594936708860756,-1
"F[0,1](af <= 0.327 -> direct >= 0.035)
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,7,7,0,65,14,72,7,1.0,0.5,0.5,0.9027777777777778,0.9113924050632911,0.08860759493670889,-1
"F[0,0](n_edrk <= 0.883 & O2_Flow >= 1.518)
",-1.146,-0.349,0.259,0.000,1.000,62,10,4,3,65,14,66,13,0.9538461538461539,0.7142857142857143,0.2857142857142857,0.9393939393939394,0.9113924050632911,0.08860759493670889,-1
"G[1,1](dfa >= 0.331 -> direct <= 0.433)
",-0.125,-0.434,-0.418,1.000,0.000,65,7,7,0,65,14,72,7,1.0,0.5,0.5,0.9027777777777778,0.9113924050632911,0.08860759493670889,1
"G[0,0](edrk <= 23.437 & y <= 0.121)
",0.413,-0.083,-2.227,1.000,0.000,62,9,5,3,65,14,67,12,0.9538461538461539,0.6428571428571429,0.35714285714285715,0.9253731343283582,0.8987341772151899,0.10126582278481011,1
"F[0,0](af >= 0.002 | n_edrk <= 0.886)
",-1.302,0.021,0.527,0.000,1.000,58,12,2,7,65,14,60,19,0.8923076923076924,0.8571428571428571,0.14285714285714285,0.9666666666666667,0.8860759493670886,0.11392405063291144,-1
"((n_edrk <= 0.861) U[1,1] (s2_hr <= 0.001))
",-0.814,0.004,0.289,0.000,1.000,60,10,4,5,65,14,64,15,0.9230769230769231,0.7142857142857143,0.2857142857142857,0.9375,0.8860759493670886,0.11392405063291144,-1
"((cosen <= -1.642) U[1,1] (tte <= -0.163))
",-0.388,0.501,1.016,0.000,1.000,65,5,9,0,65,14,74,5,1.0,0.35714285714285715,0.6428571428571429,0.8783783783783784,0.8860759493670886,0.11392405063291144,-1
"F[1,1](Resp >= 16.303 & y >= 0.012)
",0.273,-0.070,-0.565,0.000,1.000,65,5,9,0,65,14,74,5,1.0,0.35714285714285715,0.6428571428571429,0.8783783783783784,0.8860759493670886,0.11392405063291144,-1
"G[0,0](ICU_Pt_Days >= 0.171 -> Mort <= 0.521)
",1.265,-0.521,-3.114,1.000,0.000,65,5,9,0,65,14,74,5,1.0,0.35714285714285715,0.6428571428571429,0.8783783783783784,0.8860759493670886,0.11392405063291144,1
"F[0,1](SBP >= 111.929 & tte <= -0.089)
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,5,9,0,65,14,74,5,1.0,0.35714285714285715,0.6428571428571429,0.8783783783783784,0.8860759493670886,0.11392405063291144,-1
"G[0,1](LOS <= 10.510 -> n_edrk >= 0.372)
",0.000,9999999.000,9999999.000,1.000,0.000,62,8,6,3,65,14,68,11,0.9538461538461539,0.5714285714285714,0.42857142857142855,0.9117647058823529,0.8860759493670886,0.11392405063291144,1
"G[0,1](edrk >= 14.730 & s8_hr >= -0.002)
",0.000,9999999.000,9999999.000,1.000,0.000,61,9,5,4,65,14,66,13,0.9384615384615385,0.6428571428571429,0.35714285714285715,0.9242424242424242,0.8860759493670886,0.11392405063291144,1
"G[1,1](direct >= 0.012 -> ICU_Pt_Days <= 4.831)
",-1.636,-4.831,-1.921,1.000,0.000,65,5,9,0,65,14,74,5,1.0,0.35714285714285715,0.6428571428571429,0.8783783783783784,0.8860759493670886,0.11392405063291144,1
"((Mort >= 0.066) U[1,2] (tte >= -2.278))
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,5,7,2,67,12,72,7,0.9701492537313433,0.4166666666666667,0.5833333333333334,0.9027777777777778,0.8860759493670886,0.11392405063291144,-1
"G[1,1](Glasgow_Coma_Scale_Total >= 14.874 & s2_edrk >= -0.004)
",0.864,0.004,-0.372,1.000,0.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,1
"G[0,1](s24_hr <= 0.001 & SpO2 <= 99.424)
",0.000,9999999.000,9999999.000,1.000,0.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,1
"((dfa <= 0.716) U[1,1] (Glasgow_Coma_Scale_Total <= 14.990))
",-0.478,0.189,0.472,0.000,1.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,-1
"((Glasgow_Coma_Scale_Total >= 14.464) U[0,0] (n_edrk <= 0.946))
",-0.784,0.537,0.676,0.000,1.000,56,13,1,9,65,14,57,22,0.8615384615384616,0.9285714285714286,0.07142857142857142,0.9824561403508771,0.8734177215189873,0.12658227848101267,-1
"F[0,0](af >= 0.004 | Glasgow_Coma_Scale_Total <= 14.979)
",-0.788,-0.004,0.280,0.000,1.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,-1
"((cosen <= -1.982) U[0,0] (death >= 0.047))
",-0.277,0.207,0.364,0.000,1.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,-1
"((hr <= 88.009) U[0,0] (n_edrk <= 0.963))
",0.185,4.080,2.894,0.000,1.000,56,13,1,9,65,14,57,22,0.8615384615384616,0.9285714285714286,0.07142857142857142,0.9824561403508771,0.8734177215189873,0.12658227848101267,-1
"((af <= 0.233) U[1,1] (death >= 0.040))
",-0.632,0.233,0.441,0.000,1.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,-1
"G[1,1](Glasgow_Coma_Scale_Total <= 14.998 -> Resp >= 16.459)
",-0.539,-2.209,-1.308,1.000,0.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,1
"G[0,1](lds <= 1.993 -> SBP >= 91.981)
",0.000,9999999.000,9999999.000,1.000,0.000,65,4,10,0,65,14,75,4,1.0,0.2857142857142857,0.7142857142857143,0.8666666666666667,0.8734177215189873,0.12658227848101267,1
"G[0,0](death <= 0.784 -> Mort <= 0.996)
",-0.819,-0.996,-0.650,1.000,0.000,65,3,11,0,65,14,76,3,1.0,0.21428571428571427,0.7857142857142857,0.8552631578947368,0.8607594936708861,0.1392405063291139,1
"G[1,1](Mort >= 0.062 | Temp <= 37.310)
",-0.768,0.435,0.952,1.000,0.000,65,3,11,0,65,14,76,3,1.0,0.21428571428571427,0.7857142857142857,0.8552631578947368,0.8607594936708861,0.1392405063291139,1
"G[0,0](cosen >= -2.382 -> Resp <= 21.595)
",0.406,-2.939,-4.452,1.000,0.000,65,3,11,0,65,14,76,3,1.0,0.21428571428571427,0.7857142857142857,0.8552631578947368,0.8607594936708861,0.1392405063291139,1
"G[0,0](s2_edrk <= 0.002 & s8_edrk >= -0.006)
",0.404,0.002,0.001,1.000,0.000,65,3,11,0,65,14,76,3,1.0,0.21428571428571427,0.7857142857142857,0.8552631578947368,0.8607594936708861,0.1392405063291139,1
"G[0,1](srr <= 0.122 | TROPONIN_I >= 0.100)
",0.000,9999999.000,9999999.000,1.000,0.000,65,3,11,0,65,14,76,3,1.0,0.21428571428571427,0.7857142857142857,0.8552631578947368,0.8607594936708861,0.1392405063291139,1
"G[0,1](ICU_Pt_Days >= 0.060 -> s8_edrk >= -5.543927385614003e-05)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[1,1](MET <= 0.721 | n_evts <= 0.332)
",0.408,0.721,0.578,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[0,1](cosen <= -1.145 | MET >= 0.011)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[1,1](hr <= 118.979 -> Pulse >= 70.265)
",0.316,-35.030,-37.316,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[0,1](ICU_Pt_Days >= 0.230 -> s2_edrk >= -0.005)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[0,1](ICU_Pt_Days <= 2.600 -> SpO2 <= 98.901)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[0,1](AF <= 0.245 & s8_edrk <= 0.004)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[0,1](death <= 0.408 | dfa <= 0.585)
",0.000,9999999.000,9999999.000,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"G[1,1](O2_Flow <= 6.180 -> s8_edrk <= 0.002)
",-1.017,-4.586,-1.868,1.000,0.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,1
"F[0,1](Resp > 13.514 -> y = 0.447)
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,2,12,0,65,14,77,2,1.0,0.14285714285714285,0.8571428571428571,0.8441558441558441,0.8481012658227848,0.15189873417721522,-1
"((AF >= 0.009) U[1,2] (s2_edrk >= -0.007))
",0.000,-9999999.000,-9999999.000,0.000,1.000,65,2,10,2,67,12,75,4,0.9701492537313433,0.16666666666666666,0.8333333333333334,0.8666666666666667,0.8481012658227848,0.15189873417721522,-1
