Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR,Class
"G[0,1](n_evts <= 0.336 & O2_Flow <= 4.443)
",0.000,9999999.000,9999999.000,1.000,0.000,193,14,0,0,193,14,193,14,1.0,1.0,0.0,1.0,1.0,0.0,1
"((ICU_Pt_Days >= 0.162) U[0,1] (n_evts >= 0.012))
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,14,0,0,193,14,193,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"F[0,1](Mort <= 0.952 -> y >= 0.023)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,14,0,0,193,14,193,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"F[0,1](edrk >= 12.536 & n_evts >= 0.067)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,12,2,0,193,14,195,12,1.0,0.8571428571428571,0.14285714285714285,0.9897435897435898,0.9903381642512077,0.009661835748792313,-1
"((BLOOD_UREA_NITROGEN <= 20.688) U[0,1] (ICU_Pt_Days >= 0.068))
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,12,2,0,193,14,195,12,1.0,0.8571428571428571,0.14285714285714285,0.9897435897435898,0.9903381642512077,0.009661835748792313,-1
"((PROTIME_INR <= 1.167) U[0,1] (tte <= -0.052))
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,11,3,0,193,14,196,11,1.0,0.7857142857142857,0.21428571428571427,0.9846938775510204,0.9855072463768116,0.01449275362318836,-1
"((BLOOD_UREA_NITROGEN >= 12.988) U[0,1] (tte <= -0.013))
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,11,3,0,193,14,196,11,1.0,0.7857142857142857,0.21428571428571427,0.9846938775510204,0.9855072463768116,0.01449275362318836,-1
"((edrk <= 25.485) U[0,0] (tte <= -0.025))
",-1.474,5.021,11.066,0.000,1.000,193,11,3,0,193,14,196,11,1.0,0.7857142857142857,0.21428571428571427,0.9846938775510204,0.9855072463768116,0.01449275362318836,-1
"F[0,0](LOS <= 6.555 & n_evts >= 0.050)
",0.751,-0.050,-2.133,0.000,1.000,193,9,5,0,193,14,198,9,1.0,0.6428571428571429,0.35714285714285715,0.9747474747474747,0.9758454106280193,0.024154589371980673,-1
"G[1,1](direct <= 0.708 | TROPONIN_I <= 0.057)
",1.581,0.708,0.200,1.000,0.000,193,7,7,0,193,14,200,7,1.0,0.5,0.5,0.965,0.966183574879227,0.033816425120772986,1
"F[0,1](HEMOGLOBIN <= 12.070 & Mort >= 0.024)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,7,7,0,193,14,200,7,1.0,0.5,0.5,0.965,0.966183574879227,0.033816425120772986,-1
"G[1,1](CO2 >= 22.310 -> direct <= 0.258)
",2.873,-0.782,-3.690,1.000,0.000,193,7,7,0,193,14,200,7,1.0,0.5,0.5,0.965,0.966183574879227,0.033816425120772986,1
"((Mort <= 0.716) U[1,1] (n_evts >= 0.060))
",-1011483909188957.500,0.716,0.940,0.000,1.000,193,7,7,0,193,14,200,7,1.0,0.5,0.5,0.965,0.966183574879227,0.033816425120772986,-1
"G[1,1](LOS <= 6.071 | PROTIME_INR <= 1.130)
",1.444,2.071,0.705,1.000,0.000,193,5,9,0,193,14,202,5,1.0,0.35714285714285715,0.6428571428571429,0.9554455445544554,0.9565217391304348,0.04347826086956519,1
"((direct >= 0.001) U[1,2] (s24_hr <= 0.001))
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,5,7,2,195,12,200,7,0.9897435897435898,0.4166666666666667,0.5833333333333334,0.965,0.9565217391304348,0.04347826086956519,-1
"F[0,1](LOS >= 4.012 & tte <= -0.015)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,5,9,0,193,14,202,5,1.0,0.35714285714285715,0.6428571428571429,0.9554455445544554,0.9565217391304348,0.04347826086956519,-1
"F[0,0](Mort >= 0.019 & tte <= -0.014)
",-0.410,-0.019,0.125,0.000,1.000,193,4,10,0,193,14,203,4,1.0,0.2857142857142857,0.7142857142857143,0.9507389162561576,0.9516908212560387,0.048309178743961345,-1
"G[1,1](s8_edrk >= -0.005 & tte >= -3.788)
",0.387,0.005,-0.009,1.000,0.000,193,4,10,0,193,14,203,4,1.0,0.2857142857142857,0.7142857142857143,0.9507389162561576,0.9516908212560387,0.048309178743961345,1
"((death >= 0.006) U[1,1] (GLUCOSE <= 203.582))
",-2.442,23.819,84.582,0.000,1.000,193,4,10,0,193,14,203,4,1.0,0.2857142857142857,0.7142857142857143,0.9507389162561576,0.9516908212560387,0.048309178743961345,-1
"((edrk >= 12.447) U[0,0] (Glasgow_Coma_Scale_Total <= 14.998))
",1.477,8.017,1.999,0.000,1.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,-1
"((ICU_Pt_Days <= 0.535) U[1,1] (tte <= -0.001))
",-0.371,0.535,0.988,0.000,1.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,-1
"G[0,1](hr <= 114.301 | MET <= 0.990)
",0.000,9999999.000,9999999.000,1.000,0.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,1
"((AF >= 0.002) U[1,1] (ICU_Pt_Days >= 0.074))
",-1.798,-0.002,3.651,0.000,1.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,-1
"F[0,1](AF >= 0.005 & LOS >= 3.897)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,-1
"G[1,1](hr <= 113.636 | PLATELET_COUNT <= 191.659)
",0.420,26.765,19.035,1.000,0.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,1
"G[0,0](direct >= 0.010 | edrk <= 29.105)
",-1.474,8.642,14.686,1.000,0.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,1
"G[0,0](Pulse <= 111.387 -> SpO2 >= 90.529)
",0.220,-26.294,-30.102,1.000,0.000,193,2,12,0,193,14,205,2,1.0,0.14285714285714285,0.8571428571428571,0.9414634146341463,0.9420289855072463,0.05797101449275366,1
"F[1,1](OXYGEN_SATURATION <= 94.700 -> y = 0.398)
",0.000,0.000,0.000,0.000,1.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,-1
"((tte <= -0.040) U[1,1] (WHITE_BLOOD_CELL_COUNT <= 7.963))
",0.343,1.774,0.949,0.000,1.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,-1
"G[1,1](CALCIUM <= 9.240 | CHLORIDE <= 103.377)
",0.210,1.621,1.377,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"G[1,1](n_evts <= 0.286 -> y <= 0.798)
",-1.581,-0.798,-0.083,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"G[1,1](CHLORIDE >= 99.219 | WHITE_BLOOD_CELL_COUNT >= 5.256)
",-0.019,3.124,3.144,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"G[0,1](GLUCOSE <= 189.337 | LOS <= 8.663)
",0.000,9999999.000,9999999.000,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"G[0,0](BLOOD_UREA_NITROGEN >= 12.101 | Glasgow_Coma_Scale_Total <= 15.000)
",-2.871,1.458,8.899,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"G[1,1](CREATININE >= 0.868 | direct <= 0.576)
",1.581,0.576,0.331,1.000,0.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,1
"F[1,1](Resp >= 18.604 -> y = 0.615)
",-0.269,-1.605,-0.633,0.000,1.000,182,11,3,11,193,14,185,22,0.9430051813471503,0.7857142857142857,0.21428571428571427,0.9837837837837838,0.9323671497584541,0.06763285024154586,-1
"F[0,1](CREATININE <= 1.043 & y >= 0.034)
",0.000,-9999999.000,-9999999.000,0.000,1.000,193,0,14,0,193,14,207,0,1.0,0.0,1.0,0.9323671497584541,0.9323671497584541,0.06763285024154586,-1
