Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR,Class
"G[0,1](cosen <= -1.061 -> n_evts <= 0.567)
",0.000,9999999.000,9999999.000,1.000,0.000,17,14,0,0,17,14,17,14,1.0,1.0,0.0,1.0,1.0,0.0,1
"((lds <= 1.406) U[0,0] (n_evts >= 0.269))
",-0.747,0.403,0.731,0.000,1.000,17,14,0,0,17,14,17,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"G[0,0](n_evts >= 0.236 -> y = 0.460)
",9007199254740992.000,0.236,-0.764,1.000,0.000,17,14,0,0,17,14,17,14,1.0,1.0,0.0,1.0,1.0,0.0,1
"F[1,1](SpO2 >= 87.355 -> tte <= -0.033)
",-0.467,-8.020,-5.737,0.000,1.000,17,13,1,0,17,14,18,13,1.0,0.9285714285714286,0.07142857142857142,0.9444444444444444,0.967741935483871,0.032258064516129004,-1
"G[0,0](death <= 0.483 & ICU_Pt_Days <= 3.435)
",3.694,0.483,-1.266,1.000,0.000,17,12,2,0,17,14,19,12,1.0,0.8571428571428571,0.14285714285714285,0.8947368421052632,0.9354838709677419,0.06451612903225812,1
"F[0,0](direct >= 0.005 | SBP <= 151.323)
",-1.583,2.036,45.038,0.000,1.000,15,14,0,2,17,14,15,16,0.8823529411764706,1.0,0.0,1.0,0.9354838709677419,0.06451612903225812,-1
"((ICU_Pt_Days >= 0.257) U[0,1] (LOS >= 2.504))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,12,2,0,17,14,19,12,1.0,0.8571428571428571,0.14285714285714285,0.8947368421052632,0.9354838709677419,0.06451612903225812,-1
"((n_edrk <= 0.980) U[0,1] (tte <= -0.007))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,11,3,0,17,14,20,11,1.0,0.7857142857142857,0.21428571428571427,0.85,0.9032258064516129,0.09677419354838712,-1
"F[1,1](s2_hr >= -0.001 & tte <= -0.025)
",-1.154,-0.025,-0.010,0.000,1.000,17,11,3,0,17,14,20,11,1.0,0.7857142857142857,0.21428571428571427,0.85,0.9032258064516129,0.09677419354838712,-1
"((af <= 0.255) U[0,1] (SBP <= 138.190))
",0.000,-9999999.000,-9999999.000,0.000,1.000,14,14,0,3,17,14,14,17,0.8235294117647058,1.0,0.0,1.0,0.9032258064516129,0.09677419354838712,-1
"F[0,1](s24_hr >= -0.001 & SBP <= 136.537)
",0.000,-9999999.000,-9999999.000,0.000,1.000,14,14,0,3,17,14,14,17,0.8235294117647058,1.0,0.0,1.0,0.9032258064516129,0.09677419354838712,-1
"((cosen <= -1.036) U[0,1] (y >= 0.189))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"((s24_edrk <= 0.004) U[1,1] (y >= 0.290))
",-0.863,0.004,0.306,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"F[0,1](s8_edrk <= 0.003 & tte <= -0.163)
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"((SBP <= 159.434) U[1,1] (y >= 0.260))
",-1.207,4.309,47.764,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"((Pulse <= 96.162) U[0,1] (tte <= -0.184))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"((s24_edrk <= 0.003) U[0,1] (tte <= -0.106))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"F[1,1](Mort >= 0.111 | O2_Flow >= 2.212)
",-1.452,-0.111,2.260,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"G[1,1](SBP < 141.117 -> y = 0.099)
",1.159,-0.678,-31.829,1.000,0.000,14,12,2,3,17,14,16,15,0.8235294117647058,0.8571428571428571,0.14285714285714285,0.875,0.8387096774193549,0.16129032258064513,1
"G[1,1](s24_edrk >= -0.000 & SBP >= 96.934)
",0.538,0.001,-6.552,1.000,0.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,1
"((MET <= 0.356) U[0,1] (y >= 0.163))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,9,5,0,17,14,22,9,1.0,0.6428571428571429,0.35714285714285715,0.7727272727272727,0.8387096774193549,0.16129032258064513,-1
"G[0,1](ICU_Pt_Days <= 4.292 & O2_Flow <= 5.193)
",0.000,9999999.000,9999999.000,1.000,0.000,17,8,6,0,17,14,23,8,1.0,0.5714285714285714,0.42857142857142855,0.7391304347826086,0.8064516129032258,0.19354838709677424,1
"F[1,1](edrk >= 14.451 -> lds >= 1.231)
",-0.130,-4.158,-3.287,0.000,1.000,10,14,0,7,17,14,10,21,0.5882352941176471,1.0,0.0,1.0,0.7741935483870968,0.22580645161290325,-1
"F[0,1](af <= 0.448 & O2_Flow >= 2.097)
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,7,7,0,17,14,24,7,1.0,0.5,0.5,0.7083333333333334,0.7741935483870968,0.22580645161290325,-1
"((death <= 0.441) U[0,0] (n_edrk <= 0.838))
",-0.792,0.441,0.550,0.000,1.000,14,10,4,3,17,14,18,13,0.8235294117647058,0.7142857142857143,0.2857142857142857,0.7777777777777778,0.7741935483870968,0.22580645161290325,-1
"F[0,1](MET <= 0.875 -> Mort >= 0.016)
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,7,7,0,17,14,24,7,1.0,0.5,0.5,0.7083333333333334,0.7741935483870968,0.22580645161290325,-1
"G[0,1](hr <= 114.176 & TROPONIN_I >= 0.101)
",0.000,9999999.000,9999999.000,1.000,0.000,10,14,0,7,17,14,10,21,0.5882352941176471,1.0,0.0,1.0,0.7741935483870968,0.22580645161290325,1
"G[0,1](dfa <= 0.719 -> s8_hr >= -0.000)
",0.000,9999999.000,9999999.000,1.000,0.000,14,10,4,3,17,14,18,13,0.8235294117647058,0.7142857142857143,0.2857142857142857,0.7777777777777778,0.7741935483870968,0.22580645161290325,1
"G[0,1](Glasgow_Coma_Scale_Total >= 14.634 & TROPONIN_I >= 0.166)
",0.000,9999999.000,9999999.000,1.000,0.000,10,14,0,7,17,14,10,21,0.5882352941176471,1.0,0.0,1.0,0.7741935483870968,0.22580645161290325,1
"G[0,1](hr >= 84.649 & Pulse >= 83.768)
",0.000,9999999.000,9999999.000,1.000,0.000,17,7,7,0,17,14,24,7,1.0,0.5,0.5,0.7083333333333334,0.7741935483870968,0.22580645161290325,1
"((edrk >= 12.664) U[0,1] (O2_Flow >= 2.360))
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,7,7,0,17,14,24,7,1.0,0.5,0.5,0.7083333333333334,0.7741935483870968,0.22580645161290325,-1
"G[0,1](s8_hr >= -0.001 & srr <= 0.073)
",0.000,9999999.000,9999999.000,1.000,0.000,16,7,7,1,17,14,23,8,0.9411764705882353,0.5,0.5,0.6956521739130435,0.7419354838709677,0.25806451612903225,1
"G[0,1](lds <= 1.389 & Pulse >= 80.797)
",0.000,9999999.000,9999999.000,1.000,0.000,11,12,2,6,17,14,13,18,0.6470588235294118,0.8571428571428571,0.14285714285714285,0.8461538461538461,0.7419354838709677,0.25806451612903225,1
"((srr >= 0.035) U[1,1] (Temp >= 36.084))
",-0.209,0.444,0.537,0.000,1.000,12,10,4,5,17,14,16,15,0.7058823529411765,0.7142857142857143,0.2857142857142857,0.75,0.7096774193548387,0.29032258064516125,-1
"G[1,1](hr >= 91.070 -> ICU_Pt_Days <= 3.035)
",0.098,-5.624,-7.098,1.000,0.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,1
"G[0,1](n_edrk <= 0.993 -> SpO2 >= 94.862)
",0.000,9999999.000,9999999.000,1.000,0.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,1
"G[0,1](af <= 0.423 -> dfa >= 0.576)
",0.000,9999999.000,9999999.000,1.000,0.000,15,7,7,2,17,14,22,9,0.8823529411764706,0.5,0.5,0.6818181818181818,0.7096774193548387,0.29032258064516125,1
"((direct >= 0.196) U[0,0] (O2_Flow >= 2.506))
",-1.218,-0.196,1.627,0.000,1.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,-1
"G[1,1](hr >= 81.692 & Pulse >= 74.872)
",0.045,11.112,10.188,1.000,0.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,1
"((LOS <= 6.073) U[0,1] (srr >= 0.032))
",0.000,-9999999.000,-9999999.000,0.000,1.000,9,13,1,8,17,14,10,21,0.5294117647058824,0.9285714285714286,0.07142857142857142,0.9,0.7096774193548387,0.29032258064516125,-1
"((Resp <= 20.570) U[1,1] (TROPONIN_I <= 0.478))
",-1.190,0.570,3.405,0.000,1.000,11,11,3,6,17,14,14,17,0.6470588235294118,0.7857142857142857,0.21428571428571427,0.7857142857142857,0.7096774193548387,0.29032258064516125,-1
"G[0,0](Mort >= 0.199 -> y >= 0.219)
",109.663,0.199,-0.796,1.000,0.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,1
"G[1,1](Resp >= 12.858 -> SBP >= 113.875)
",-0.887,-41.250,-14.563,1.000,0.000,17,5,9,0,17,14,26,5,1.0,0.35714285714285715,0.6428571428571429,0.6538461538461539,0.7096774193548387,0.29032258064516125,1
"G[1,1](death <= 0.315 | s8_edrk >= -0.001)
",0.632,0.315,0.224,1.000,0.000,17,4,10,0,17,14,27,4,1.0,0.2857142857142857,0.7142857142857143,0.6296296296296297,0.6774193548387096,0.32258064516129037,1
"F[0,1](cosen <= -1.704 -> y = 0.665)
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,4,10,0,17,14,27,4,1.0,0.2857142857142857,0.7142857142857143,0.6296296296296297,0.6774193548387096,0.32258064516129037,-1
"F[0,1](s8_edrk <= 0.000 & Temp <= 37.099)
",0.000,-9999999.000,-9999999.000,0.000,1.000,17,4,10,0,17,14,27,4,1.0,0.2857142857142857,0.7142857142857143,0.6296296296296297,0.6774193548387096,0.32258064516129037,-1
