,Non Rules
0,"(LOS != 0.000 -> F[0,0](PROTIME_INR > 0.000))"
1,"(G[0,0](LOS != 0.000) & F[0,0](CREATININE > 0.000))"
2,"((tte < 0.000) U[0,0] (Mort = 0.000))"
3,"(G[0,0](LOS < 0.000) & LOS < 0.000)"
4,"((n_evts < 0.000) U[0,0] (LOS > 0.000))"
5,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
6,"((cosen = 0.000) U[0,0] (LOS > 0.000))"
7,"(F[0,0](ICU_Pt_Days != 0.000) & tte = 0.000)"
8,"((POTASSIUM = 0.000) U[0,0] (LOS < 0.000))"
9,"G[0,0](y != 0.000)"
10,"(F[0,0](direct < 0.000) & F[0,0](ALT_GPT = 0.000))"
11,"(G[0,0](ALBUMIN = 0.000) & LOS < 0.000)"
12,"((y = 0.000) U[0,0] (LOS != 0.000))"
13,"(G[0,0](lds > 0.000) & HEMOGLOBIN < 0.000)"
14,"(F[0,0](LOS < 0.000) & F[0,0](CREATININE > 0.000))"
15,"(G[0,0](TOTAL_PROTEIN != 0.000) & F[0,0](death < 0.000))"
16,"F[0,0](LOS = 0.000)"
17,"(F[0,0](srr > 0.000) | F[0,0](ALBUMIN = 0.000))"
18,"((LOS > 0.000) U[0,0] (LOS < 0.000))"
19,"((LOS != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
20,"(F[0,0](BLOOD_UREA_NITROGEN != 0.000) & HEMOGLOBIN < 0.000)"
21,"((LOS > 0.000) U[0,0] (LOS != 0.000))"
22,s24_hr < 0.000
23,"(F[0,0](LOS = 0.000) | F[0,0](death > 0.000))"
24,"G[0,0](tte != 0.000)"
25,"F[0,0](y = 0.000)"
26,"((y < 0.000) U[0,0] (PROTIME_INR != 0.000))"
27,"(G[0,0](death < 0.000) & F[0,0](CREATININE > 0.000))"
28,"((LOS < 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
29,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
30,"((ALBUMIN < 0.000) U[0,0] (Mort = 0.000))"
31,"(F[0,0](ALBUMIN > 0.000) & F[0,0](CREATININE > 0.000))"
32,"((LOS > 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
33,"((ICU_Pt_Days != 0.000) U[0,0] (Mort < 0.000))"
34,"((LOS != 0.000) U[0,0] (LOS != 0.000))"
35,"(F[0,0](GLUCOSE < 0.000) | F[0,0](LOS < 0.000))"
36,"((ICU_Pt_Days != 0.000) U[0,0] (O2_Flow = 0.000))"
37,"(G[0,0](LOS = 0.000) & F[0,0](CREATININE > 0.000))"
38,"F[0,0](n_evts != 0.000)"
39,"(F[0,0](srr > 0.000) | F[0,0](O2_Flow < 0.000))"
40,"((MET != 0.000) U[0,0] (LOS != 0.000))"
41,"(G[0,0](LOS = 0.000) & HEMOGLOBIN < 0.000)"
42,"((tte < 0.000) U[0,0] (LOS < 0.000))"
43,"((LOS = 0.000) U[0,0] (PROTIME_INR != 0.000))"
44,"(G[0,0](TOTAL_PROTEIN != 0.000) & srr > 0.000)"
45,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
46,"((MET != 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
47,"F[0,0](y > 0.000)"
48,"((Mort > 0.000) U[0,0] (LOS != 0.000))"
49,ICU_Pt_Days != 0.000
50,"F[0,0](LOS < 0.000)"
51,"((n_evts = 0.000) U[0,0] (PROTIME_INR != 0.000))"
52,"((Mort < 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
53,"(G[0,0](lds > 0.000) & tte = 0.000)"
54,"((MET != 0.000) U[0,0] (Mort = 0.000))"
55,"(F[0,0](direct < 0.000) & F[0,0](death < 0.000))"
56,"((y < 0.000) U[0,0] (LOS < 0.000))"
57,"((Mort = 0.000) U[0,0] (LOS < 0.000))"
58,LOS != 0.000
59,"((LOS < 0.000) U[0,0] (Mort = 0.000))"
60,"((cosen = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
61,"((n_evts < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
62,"(G[0,0](LOS = 0.000) & Glasgow_Coma_Scale_Total != 0.000)"
63,"(F[0,0](ICU_Pt_Days != 0.000) & F[0,0](CREATININE > 0.000))"
64,"F[0,0](ICU_Pt_Days != 0.000)"
65,"G[0,0](Mort < 0.000)"
66,"(F[0,0](LOS < 0.000) & F[0,0](ALT_GPT = 0.000))"
67,"F[0,0](n_evts = 0.000)"
