,Non Rules
0,"((direct = 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
1,"((ICU_Pt_Days > 0.000) U[0,0] (death > 0.000))"
2,"((death = 0.000) U[0,0] (SBP = 0.000))"
3,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
4,"((death = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
5,"((LOS < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
6,"((n_evts < 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
7,"((y = 0.000) U[0,0] (death > 0.000))"
8,"((n_evts < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((LOS = 0.000) U[0,0] (Resp < 0.000))"
10,"((n_evts = 0.000) U[0,0] (death < 0.000))"
11,"((tte = 0.000) U[0,0] (O2_Flow > 0.000))"
12,"((n_evts < 0.000) U[0,0] (Resp < 0.000))"
13,"((y > 0.000) U[0,0] (tte < 0.000))"
14,"((n_evts = 0.000) U[0,0] (SBP = 0.000))"
15,"((death = 0.000) U[0,0] (death > 0.000))"
16,"((n_evts < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
17,"((n_evts > 0.000) U[0,0] (direct > 0.000))"
18,"((LOS < 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
19,"((n_evts > 0.000) U[0,0] (Sgy = 0.000))"
20,"((LOS < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
21,"((y > 0.000) U[0,0] (n_evts > 0.000))"
22,"((death = 0.000) U[0,0] (Mort > 0.000))"
23,"((LOS < 0.000) U[0,0] (SpO2 > 0.000))"
24,"((LOS = 0.000) U[0,0] (n_evts < 0.000))"
25,"((y > 0.000) U[0,0] (y > 0.000))"
