,Non Rules
0,"F[0,0]((direct > 0.000 & n_evts = 0.000))"
1,"F[0,0]((SBP > 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
2,"F[0,0]((n_evts > 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
3,"F[0,0]((O2_Flow = 0.000 & death = 0.000))"
4,"F[0,0]((Glasgow_Coma_Scale_Total < 0.000 & tte = 0.000))"
5,"F[0,0]((Temp < 0.000 & n_evts = 0.000))"
6,"F[0,0]((y > 0.000 & SBP = 0.000))"
7,"F[0,0]((y = 0.000 & SBP = 0.000))"
8,"F[0,0]((Temp < 0.000 & tte = 0.000))"
9,"F[0,0]((ICU_Pt_Days < 0.000 & SBP = 0.000))"
10,"F[0,0]((O2_Flow < 0.000 & ICU_Pt_Days = 0.000))"
11,"F[0,0]((s8_hr = 0.000 & tte = 0.000))"
12,"F[0,0]((LOS = 0.000 & tte < 0.000))"
13,"F[0,0]((direct > 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
14,"F[0,0]((ICU_Pt_Days < 0.000 & BLOOD_UREA_NITROGEN = 0.000))"
