,Non Rules
0,"((ICU_Pt_Days = 0.000) U[0,0] (SBP = 0.000))"
1,"((CHLORIDE = 0.000) U[0,0] (tte = 0.000))"
2,"((Mort < 0.000) U[0,0] (Pulse = 0.000))"
3,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
4,"((y = 0.000) U[0,0] (death > 0.000))"
5,"((AST_GOT = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"((n_evts = 0.000) U[0,0] (death < 0.000))"
7,"((Mort < 0.000) U[0,0] (direct < 0.000))"
8,"((direct < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
9,"((y > 0.000) U[0,0] (tte < 0.000))"
10,"((Mort > 0.000) U[0,0] (MET > 0.000))"
11,"((Mort > 0.000) U[0,0] (direct < 0.000))"
12,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (tte = 0.000))"
13,"((y > 0.000) U[0,0] (y = 0.000))"
14,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (Mort < 0.000))"
15,"((tte = 0.000) U[0,0] (Resp > 0.000))"
16,"((af > 0.000) U[0,0] (MET > 0.000))"
17,"((y = 0.000) U[0,0] (ALT_GPT = 0.000))"
