,Non Rules
0,"((CO2 = 0.000) U[0,0] (srr > 0.000))"
1,"((ALT_GPT < 0.000) U[0,0] (srr > 0.000))"
2,"((y > 0.000) U[0,0] (srr > 0.000))"
3,"((Sgy < 0.000) U[0,0] (srr > 0.000))"
4,"((y < 0.000) U[0,0] (srr > 0.000))"
5,"((af > 0.000) U[0,0] (srr > 0.000))"
6,"((POTASSIUM < 0.000) U[0,0] (srr > 0.000))"
7,"((PCO2 < 0.000) U[0,0] (srr > 0.000))"
8,"((LOS < 0.000) U[0,0] (srr > 0.000))"
9,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (srr > 0.000))"
10,"((n_evts < 0.000) U[0,0] (srr > 0.000))"
11,"((srr < 0.000) U[0,0] (srr > 0.000))"
12,"((AST_GOT = 0.000) U[0,0] (srr > 0.000))"
13,"((MET < 0.000) U[0,0] (srr > 0.000))"
14,"((GLUCOSE = 0.000) U[0,0] (srr > 0.000))"
15,"((ALBUMIN > 0.000) U[0,0] (srr > 0.000))"
16,"((Pulse = 0.000) U[0,0] (srr > 0.000))"
17,"((tte < 0.000) U[0,0] (srr > 0.000))"
18,"((MET = 0.000) U[0,0] (srr > 0.000))"
19,"((PHOSPHORUS > 0.000) U[0,0] (srr > 0.000))"
20,"((n_edrk > 0.000) U[0,0] (srr > 0.000))"
21,"((AST_GOT > 0.000) U[0,0] (srr > 0.000))"
22,"((Temp = 0.000) U[0,0] (srr > 0.000))"
23,"((TROPONIN_I > 0.000) U[0,0] (srr > 0.000))"
24,"((PLATELET_COUNT > 0.000) U[0,0] (srr > 0.000))"
25,"((hr < 0.000) U[0,0] (srr > 0.000))"
26,"((SBP < 0.000) U[0,0] (srr > 0.000))"
27,"((CO2 < 0.000) U[0,0] (srr > 0.000))"
28,"((Temp > 0.000) U[0,0] (srr > 0.000))"
29,"((s8_hr > 0.000) U[0,0] (srr > 0.000))"
30,"((direct < 0.000) U[0,0] (srr > 0.000))"
31,"((PROTIME_INR > 0.000) U[0,0] (srr > 0.000))"
32,"((AF = 0.000) U[0,0] (srr > 0.000))"
33,"((af = 0.000) U[0,0] (srr > 0.000))"
