,Non Rules
0,"((AF = 0.000) U[0,0] (Mort < 0.000))"
1,"((MET > 0.000) U[0,0] (MET = 0.000))"
2,"((CALCIUM = 0.000) U[0,0] (Mort > 0.000))"
3,"((tte = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((y > 0.000) U[0,0] (direct > 0.000))"
5,"F[0,0]((LOS < 0.000 -> LOS = 0.000))"
6,"((Pulse > 0.000) U[0,0] (LOS = 0.000))"
7,"((AF = 0.000) U[0,0] (MET > 0.000))"
8,"((CALCIUM = 0.000) U[0,0] (death > 0.000))"
9,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Pulse = 0.000))"
10,"((AF > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
11,"((CALCIUM = 0.000) U[0,0] (LOS > 0.000))"
12,"((LOS > 0.000) U[0,0] (Temp = 0.000))"
13,"((ALBUMIN = 0.000) U[0,0] (O2_Flow = 0.000))"
14,"((Pulse > 0.000) U[0,0] (Temp = 0.000))"
15,"((ICU_Pt_Days = 0.000) U[0,0] (MET > 0.000))"
16,"((CHLORIDE = 0.000) U[0,0] (Mort < 0.000))"
17,"((CHLORIDE = 0.000) U[0,0] (Temp = 0.000))"
18,"((ICU_Pt_Days = 0.000) U[0,0] (Sgy = 0.000))"
19,"((tte < 0.000) U[0,0] (LOS > 0.000))"
20,"((SBP > 0.000) U[0,0] (death > 0.000))"
