,Non Rules
0,"F[0,0]((Temp = 0.000 & Sgy > 0.000))"
1,"F[0,0]((direct < 0.000 & tte > 0.000))"
2,"F[0,0]((af < 0.000 & Sgy > 0.000))"
3,"F[0,0]((MET < 0.000 & SpO2 > 0.000))"
4,"F[0,0]((LOS < 0.000 & CALCIUM > 0.000))"
5,"F[0,0]((Mort = 0.000 & Mort < 0.000))"
6,"F[0,0]((af < 0.000 & OXYGEN_SATURATION > 0.000))"
7,"F[0,0]((n_evts < 0.000 & MET < 0.000))"
8,"F[0,0]((Resp = 0.000 & n_evts < 0.000))"
9,"F[0,0]((LOS < 0.000 & PARTIAL_THROMBOPLASTIN_TIME > 0.000))"
10,"F[0,0]((Sgy < 0.000 & y < 0.000))"
11,"G[0,0]((dfa > 0.000 -> n_evts > 0.000))"
12,"F[0,0]((death = 0.000 & ALBUMIN > 0.000))"
13,"F[0,0]((ICU_Pt_Days = 0.000 & tte > 0.000))"
14,"F[0,0]((af < 0.000 & WHITE_BLOOD_CELL_COUNT > 0.000))"
15,"F[0,0]((SBP = 0.000 & LOS < 0.000))"
16,"F[0,0]((AST_GOT = 0.000 & TOTAL_PROTEIN = 0.000))"
17,"F[0,0]((y = 0.000 & PROTIME_INR > 0.000))"
18,"F[0,0]((ICU_Pt_Days < 0.000 & LOS > 0.000))"
19,"F[0,0]((n_evts = 0.000 & LOS < 0.000))"
20,"F[0,0]((LOS > 0.000 & y < 0.000))"
21,"F[0,0]((n_evts = 0.000 & ICU_Pt_Days > 0.000))"
22,"F[0,0]((n_evts < 0.000 & SBP > 0.000))"
23,"F[0,0]((n_evts < 0.000 & tte > 0.000))"
24,"F[0,0]((cosen = 0.000 & s2_hr > 0.000))"
25,"F[0,0]((Resp = 0.000 & direct > 0.000))"
26,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & ALBUMIN > 0.000))"
27,"F[0,0]((SpO2 = 0.000 & ALT_GPT > 0.000))"
28,"F[0,0]((death < 0.000 & SODIUM > 0.000))"
29,"F[0,0]((y = 0.000 & SBP > 0.000))"
30,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & tte > 0.000))"
31,"F[0,0]((ICU_Pt_Days < 0.000 & SpO2 > 0.000))"
32,"F[0,0]((ICU_Pt_Days = 0.000 & OXYGEN_SATURATION > 0.000))"
33,"F[0,0]((O2_Flow = 0.000 & PROTIME_INR > 0.000))"
34,"G[0,0]((dfa > 0.000 -> ICU_Pt_Days > 0.000))"
35,"F[0,0]((y < 0.000 & LOS < 0.000))"
36,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & CREATININE > 0.000))"
37,"F[0,0]((SpO2 = 0.000 & n_evts < 0.000))"
38,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & n_evts < 0.000))"
39,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & MET > 0.000))"
40,"F[0,0]((ICU_Pt_Days > 0.000 & OXYGEN_SATURATION > 0.000))"
41,"F[0,0]((death = 0.000 & LOS > 0.000))"
42,"F[0,0]((SODIUM > 0.000 & Temp > 0.000))"
43,"F[0,0]((LOS < 0.000 & ICU_Pt_Days > 0.000))"
44,"F[0,0]((af < 0.000 & CALCIUM > 0.000))"
45,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & n_edrk > 0.000))"
46,"F[0,0]((ALBUMIN = 0.000 & Glasgow_Coma_Scale_Total > 0.000))"
47,"F[0,0]((n_evts = 0.000 & AST_GOT > 0.000))"
48,"F[0,0]((Resp = 0.000 & Mort < 0.000))"
49,"F[0,0]((SpO2 = 0.000 & BLOOD_UREA_NITROGEN > 0.000))"
50,"F[0,0]((SpO2 = 0.000 & Mort < 0.000))"
51,"F[0,0]((MET < 0.000 & LOS = 0.000))"
52,"F[0,0]((LOS < 0.000 & ICU_Pt_Days < 0.000))"
53,"F[0,0]((LOS > 0.000 & Mort < 0.000))"
54,"F[0,0]((y < 0.000 & OXYGEN_SATURATION > 0.000))"
55,"F[0,0]((Mort = 0.000 & HEMOGLOBIN > 0.000))"
56,"F[0,0]((tte < 0.000 & CO2 > 0.000))"
57,"F[0,0]((MET = 0.000 & Glasgow_Coma_Scale_Total > 0.000))"
58,"F[0,0]((Sgy = 0.000 & MET < 0.000))"
59,"F[0,0]((LOS < 0.000 & hr > 0.000))"
60,"F[0,0]((death = 0.000 & TOTAL_BILIRUBIN > 0.000))"
61,"F[0,0]((tte < 0.000 & s24_hr > 0.000))"
62,"F[0,0]((Mort = 0.000 & s2_hr > 0.000))"
63,"F[0,0]((Mort < 0.000 & ALKALINE_PHOSPHATASE > 0.000))"
64,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & y > 0.000))"
65,"F[0,0]((direct < 0.000 & s2_hr > 0.000))"
66,"F[0,0]((Mort > 0.000 & OXYGEN_SATURATION > 0.000))"
67,"F[0,0]((SBP = 0.000 & n_edrk > 0.000))"
68,"F[0,0]((Temp = 0.000 & ICU_Pt_Days = 0.000))"
69,"F[0,0]((ALBUMIN = 0.000 & MET > 0.000))"
70,"F[0,0]((MET = 0.000 & s2_hr > 0.000))"
71,"F[0,0]((SODIUM > 0.000 & ICU_Pt_Days > 0.000))"
72,"F[0,0]((n_evts < 0.000 & POTASSIUM > 0.000))"
73,"F[0,0]((MET < 0.000 & GLUCOSE > 0.000))"
74,"F[0,0]((Sgy = 0.000 & Mort > 0.000))"
75,"F[0,0]((LOS = 0.000 & BLOOD_UREA_NITROGEN > 0.000))"
76,"F[0,0]((MET = 0.000 & SpO2 > 0.000))"
77,"F[0,0]((n_evts < 0.000 & SODIUM > 0.000))"
78,"F[0,0]((cosen = 0.000 & SODIUM > 0.000))"
79,"F[0,0]((SODIUM > 0.000 & O2_Flow > 0.000))"
80,"F[0,0]((death < 0.000 & s8_hr > 0.000))"
81,"F[0,0]((Mort = 0.000 & LACTIC_ACID > 0.000))"
82,"F[0,0]((direct = 0.000 & TROPONIN_I > 0.000))"
83,"F[0,0]((LOS = 0.000 & LACTIC_ACID > 0.000))"
84,"F[0,0]((O2_Flow = 0.000 & HEMOGLOBIN > 0.000))"
85,"F[0,0]((y < 0.000 & tte > 0.000))"
86,"F[0,0]((LOS = 0.000 & PHOSPHORUS > 0.000))"
87,"F[0,0]((ICU_Pt_Days = 0.000 & n_evts < 0.000))"
88,"F[0,0]((ALBUMIN = 0.000 & LACTIC_ACID > 0.000))"
89,"F[0,0]((ALT_GPT = 0.000 & n_evts < 0.000))"
90,"F[0,0]((Sgy < 0.000 & CO2 > 0.000))"
91,"F[0,0]((SBP = 0.000 & n_evts > 0.000))"
92,"F[0,0]((Sgy = 0.000 & PLATELET_COUNT > 0.000))"
93,"F[0,0]((ALBUMIN = 0.000 & ICU_Pt_Days = 0.000))"
94,"F[0,0]((tte < 0.000 & ICU_Pt_Days = 0.000))"
95,"F[0,0]((LOS < 0.000 & GLUCOSE > 0.000))"
96,"F[0,0]((direct < 0.000 & Sgy > 0.000))"
97,"F[0,0]((AST_GOT = 0.000 & n_evts > 0.000))"
98,"F[0,0]((ICU_Pt_Days > 0.000 & s2_hr > 0.000))"
99,"F[0,0]((death < 0.000 & Sgy > 0.000))"
100,"F[0,0]((death < 0.000 & ALKALINE_PHOSPHATASE > 0.000))"
101,"F[0,0]((MET = 0.000 & WHITE_BLOOD_CELL_COUNT > 0.000))"
102,"F[0,0]((n_evts < 0.000 & s8_hr > 0.000))"
103,"F[0,0]((direct < 0.000 & ALBUMIN > 0.000))"
104,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & s2_hr > 0.000))"
105,"F[0,0]((ICU_Pt_Days < 0.000 & LOS = 0.000))"
106,"F[0,0]((Mort > 0.000 & Resp > 0.000))"
107,"F[0,0]((MET = 0.000 & MET > 0.000))"
108,"F[0,0]((Temp = 0.000 & MET > 0.000))"
109,"F[0,0]((SpO2 = 0.000 & ALBUMIN > 0.000))"
110,"F[0,0]((Resp = 0.000 & SpO2 > 0.000))"
111,"F[0,0]((AST_GOT = 0.000 & death > 0.000))"
112,"F[0,0]((Sgy = 0.000 & Pulse > 0.000))"
113,"F[0,0]((Sgy < 0.000 & s2_hr > 0.000))"
114,"F[0,0]((death < 0.000 & ICU_Pt_Days > 0.000))"
115,"F[0,0]((MET < 0.000 & AST_GOT > 0.000))"
116,"F[0,0]((LOS = 0.000 & LOS > 0.000))"
117,"F[0,0]((Pulse = 0.000 & CALCIUM > 0.000))"
118,"F[0,0]((direct = 0.000 & Resp > 0.000))"
119,"F[0,0]((ALT_GPT = 0.000 & O2_Flow > 0.000))"
120,"F[0,0]((ALBUMIN = 0.000 & n_evts > 0.000))"
121,"F[0,0]((cosen = 0.000 & TOTAL_PROTEIN = 0.000))"
122,"F[0,0]((MET < 0.000 & MET < 0.000))"
123,"F[0,0]((cosen = 0.000 & LACTIC_ACID > 0.000))"
124,"F[0,0]((direct = 0.000 & Mort < 0.000))"
125,"F[0,0](s2_edrk < 0.000)"
126,"F[0,0]((SBP = 0.000 & Sgy > 0.000))"
127,"G[0,0]((ICU_Pt_Days = 0.000 -> n_evts > 0.000))"
128,"F[0,0]((tte < 0.000 & Mort > 0.000))"
129,"F[0,0]((n_evts = 0.000 & hr > 0.000))"
130,"F[0,0]((Mort < 0.000 & n_evts < 0.000))"
131,"F[0,0]((Mort < 0.000 & LACTIC_ACID > 0.000))"
132,"F[0,0]((SpO2 = 0.000 & TOTAL_BILIRUBIN > 0.000))"
133,"F[0,0]((Mort = 0.000 & y < 0.000))"
134,"F[0,0]((n_evts = 0.000 & s8_hr > 0.000))"
135,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & s8_hr > 0.000))"
136,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & SBP > 0.000))"
137,"F[0,0]((af < 0.000 & POTASSIUM > 0.000))"
138,"F[0,0]((direct < 0.000 & GLUCOSE > 0.000))"
139,"F[0,0]((MET = 0.000 & ICU_Pt_Days > 0.000))"
140,"F[0,0]((AST_GOT = 0.000 & BLOOD_UREA_NITROGEN > 0.000))"
141,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & Resp > 0.000))"
142,"F[0,0]((y < 0.000 & Glasgow_Coma_Scale_Total > 0.000))"
143,"F[0,0]((ICU_Pt_Days > 0.000 & n_edrk > 0.000))"
144,"F[0,0]((Sgy = 0.000 & MAGNESIUM > 0.000))"
145,"F[0,0]((cosen = 0.000 & OXYGEN_SATURATION > 0.000))"
146,"G[0,0]((s24_edrk < 0.000 -> n_evts > 0.000))"
147,"F[0,0]((y < 0.000 & O2_Flow > 0.000))"
148,"F[0,0]((O2_Flow = 0.000 & ALBUMIN > 0.000))"
149,"F[0,0]((n_evts < 0.000 & hr > 0.000))"
150,"F[0,0]((y = 0.000 & s2_hr > 0.000))"
151,"F[0,0]((LOS = 0.000 & Resp > 0.000))"
152,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & Glasgow_Coma_Scale_Total > 0.000))"
153,"F[0,0]((Sgy < 0.000 & SODIUM > 0.000))"
154,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & CO2 > 0.000))"
155,"F[0,0]((Mort > 0.000 & n_evts < 0.000))"
156,"F[0,0]((direct < 0.000 & n_edrk > 0.000))"
157,"F[0,0]((Sgy = 0.000 & SBP > 0.000))"
158,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 & Pulse > 0.000))"
159,"F[0,0]((y = 0.000 & BLOOD_UREA_NITROGEN > 0.000))"
160,"F[0,0]((AST_GOT = 0.000 & Mort = 0.000))"
161,"F[0,0]((y = 0.000 & PARTIAL_THROMBOPLASTIN_TIME > 0.000))"
162,"F[0,0]((ICU_Pt_Days > 0.000 & CREATININE > 0.000))"
163,"F[0,0]((ALBUMIN = 0.000 & PROTIME_INR > 0.000))"
164,"F[0,0]((death = 0.000 & LACTIC_ACID > 0.000))"
165,"F[0,0]((LOS = 0.000 & y > 0.000))"
166,"F[0,0]((ICU_Pt_Days > 0.000 & Pulse > 0.000))"
167,"F[0,0]((ALT_GPT = 0.000 & HEMOGLOBIN > 0.000))"
168,"F[0,0]((Mort = 0.000 & TOTAL_PROTEIN = 0.000))"
169,"F[0,0]((AST_GOT = 0.000 & LOS = 0.000))"
170,"F[0,0]((ALBUMIN = 0.000 & SBP > 0.000))"
171,"F[0,0]((O2_Flow = 0.000 & y > 0.000))"
172,"F[0,0]((death < 0.000 & PROTIME_INR > 0.000))"
173,"F[0,0]((af < 0.000 & s2_hr > 0.000))"
174,"F[0,0]((O2_Flow = 0.000 & PARTIAL_THROMBOPLASTIN_TIME > 0.000))"
175,"F[0,0]((Sgy < 0.000 & ALT_GPT > 0.000))"
176,"F[0,0]((Mort > 0.000 & Glasgow_Coma_Scale_Total > 0.000))"
177,"F[0,0]((af < 0.000 & tte > 0.000))"
178,"F[0,0]((Mort > 0.000 & PARTIAL_THROMBOPLASTIN_TIME > 0.000))"
179,"F[0,0]((Resp = 0.000 & ALBUMIN > 0.000))"
180,"F[0,0]((Sgy < 0.000 & ICU_Pt_Days > 0.000))"
181,"F[0,0]((n_evts < 0.000 & PCO2 > 0.000))"
182,"F[0,0]((LOS < 0.000 & HEMOGLOBIN > 0.000))"
183,"F[0,0]((MET = 0.000 & POTASSIUM > 0.000))"
184,"F[0,0]((Sgy = 0.000 & TOTAL_BILIRUBIN > 0.000))"
185,"F[0,0]((n_evts < 0.000 & CHLORIDE > 0.000))"
186,"F[0,0]((ALKALINE_PHOSPHATASE = 0.000 & SpO2 > 0.000))"
187,"F[0,0]((Mort = 0.000 & Resp > 0.000))"
188,"F[0,0]((O2_Flow = 0.000 & Mort = 0.000))"
189,"F[0,0]((Temp = 0.000 & LOS < 0.000))"
190,"F[0,0]((Resp = 0.000 & PHOSPHORUS > 0.000))"
191,"F[0,0]((n_evts = 0.000 & LACTIC_ACID > 0.000))"
192,"F[0,0]((n_evts < 0.000 & MAGNESIUM > 0.000))"
