,Non Rules
0,"((LOS = 0.000) U[0,0] (MET = 0.000))"
1,"((LOS = 0.000) U[0,0] (Resp = 0.000))"
2,"((tte = 0.000) U[0,0] (Pulse = 0.000))"
3,"((Sgy = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((n_evts > 0.000) U[0,0] (ALBUMIN = 0.000))"
5,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"((LOS > 0.000) U[0,0] (Mort < 0.000))"
7,"((direct > 0.000) U[0,0] (Mort < 0.000))"
8,"((tte = 0.000) U[0,0] (y = 0.000))"
9,"((death > 0.000) U[0,0] (n_evts < 0.000))"
10,"((Resp > 0.000) U[0,0] (MET = 0.000))"
11,"((Sgy = 0.000) U[0,0] (n_evts < 0.000))"
12,"((LOS > 0.000) U[0,0] (n_evts < 0.000))"
13,"((direct > 0.000) U[0,0] (death = 0.000))"
14,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts < 0.000))"
15,"((ICU_Pt_Days > 0.000) U[0,0] (Resp = 0.000))"
16,"((death > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
17,"((n_evts < 0.000) U[0,0] (LOS = 0.000))"
18,"((LOS = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
19,"((n_evts = 0.000) U[0,0] (n_evts < 0.000))"
20,"((LOS > 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
21,"((tte = 0.000) U[0,0] (dfa < 0.000))"
22,"((Sgy = 0.000) U[0,0] (Pulse = 0.000))"
23,"((tte > 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
24,"((n_evts = 0.000) U[0,0] (dfa < 0.000))"
25,"((direct > 0.000) U[0,0] (ALBUMIN = 0.000))"
