,Non Rules
0,"((Temp = 0.000) U[0,0] (Mort > 0.000))"
1,"((LOS = 0.000) U[0,0] (MET = 0.000))"
2,"((death > 0.000) U[0,0] (death = 0.000))"
3,"((death = 0.000) U[0,0] (Resp > 0.000))"
4,"((SpO2 = 0.000) U[0,0] (Temp > 0.000))"
5,"((direct = 0.000) U[0,0] (O2_Flow = 0.000))"
6,"((Resp > 0.000) U[0,0] (Sgy = 0.000))"
7,"((y = 0.000) U[0,0] (death > 0.000))"
8,"((SpO2 = 0.000) U[0,0] (Sgy = 0.000))"
9,"((y > 0.000) U[0,0] (tte = 0.000))"
10,"((n_evts = 0.000) U[0,0] (n_evts = 0.000))"
11,"((SpO2 = 0.000) U[0,0] (LOS > 0.000))"
12,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
13,"((MET > 0.000) U[0,0] (af = 0.000))"
14,"((Resp > 0.000) U[0,0] (MET = 0.000))"
15,"((Mort = 0.000) U[0,0] (direct = 0.000))"
16,"((Resp > 0.000) U[0,0] (MET > 0.000))"
17,"((O2_Flow = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
18,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
19,"F[0,0]((n_evts = 0.000 & LOS > 0.000))"
20,"((Mort > 0.000) U[0,0] (death = 0.000))"
21,"((n_evts > 0.000) U[0,0] (death = 0.000))"
