,Non Rules
0,"((direct > 0.000) U[0,0] (CALCIUM = 0.000))"
1,"((MET > 0.000) U[0,0] (SBP > 0.000))"
2,"((y > 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
3,"((MET > 0.000) U[0,0] (n_evts = 0.000))"
4,"((direct = 0.000) U[0,0] (n_evts < 0.000))"
5,"((CHLORIDE = 0.000) U[0,0] (tte = 0.000))"
6,"((y > 0.000) U[0,0] (direct > 0.000))"
7,"((Pulse = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
8,"((Pulse = 0.000) U[0,0] (SBP > 0.000))"
9,"((Mort = 0.000) U[0,0] (CALCIUM = 0.000))"
10,"((Sgy = 0.000) U[0,0] (direct > 0.000))"
11,"((tte < 0.000) U[0,0] (MET = 0.000))"
12,"((direct > 0.000) U[0,0] (tte > 0.000))"
13,"((tte = 0.000) U[0,0] (tte < 0.000))"
14,"((LOS > 0.000) U[0,0] (MET > 0.000))"
15,"((Mort > 0.000) U[0,0] (death < 0.000))"
16,"((y > 0.000) U[0,0] (CREATININE = 0.000))"
17,"((y = 0.000) U[0,0] (MET > 0.000))"
18,"((MET = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
19,"((LOS > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
20,"((CALCIUM = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
21,"((tte < 0.000) U[0,0] (CALCIUM = 0.000))"
22,"((tte < 0.000) U[0,0] (MET > 0.000))"
23,"((direct = 0.000) U[0,0] (death < 0.000))"
24,"((direct < 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
25,"((LOS = 0.000) U[0,0] (LOS = 0.000))"
26,"((Mort > 0.000) U[0,0] (y > 0.000))"
27,"((CHLORIDE = 0.000) U[0,0] (Mort > 0.000))"
28,"((n_evts = 0.000) U[0,0] (direct > 0.000))"
