,Non Rules
0,"((ICU_Pt_Days < 0.000) U[0,0] (Mort != 0.000))"
1,"((PCO2 > 0.000) U[0,0] (POTASSIUM > 0.000))"
2,"(SpO2 > 0.000 | G[0,0](s24_hr = 0.000))"
3,"(s8_hr < 0.000 | G[0,0](LOS = 0.000))"
4,(PHOSPHORUS != 0.000 | POTASSIUM > 0.000)
5,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
6,"G[0,0](y != 0.000)"
7,"(F[0,0](srr > 0.000) -> WHITE_BLOOD_CELL_COUNT > 0.000)"
8,"G[0,0](cosen < 0.000)"
9,"((Mort != 0.000) U[0,0] (ALT_GPT = 0.000))"
10,"(SODIUM < 0.000 -> G[0,0](LOS != 0.000))"
11,"((Resp = 0.000) U[0,0] (Mort != 0.000))"
12,"F[0,0](LOS = 0.000)"
13,"(F[0,0](PLATELET_COUNT = 0.000) | G[0,0](LOS = 0.000))"
14,"((LOS > 0.000) U[0,0] (LOS < 0.000))"
15,"((LOS != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
16,"((Mort != 0.000) U[0,0] (Resp < 0.000))"
17,"(F[0,0](SODIUM < 0.000) | G[0,0](s24_hr = 0.000))"
18,"((Resp = 0.000) U[0,0] (Mort < 0.000))"
19,"(F[0,0](SODIUM < 0.000) | MET = 0.000)"
20,"(F[0,0](s24_edrk < 0.000) & G[0,0](hr < 0.000))"
21,"((LOS > 0.000) U[0,0] (LOS != 0.000))"
22,"(SODIUM < 0.000 -> F[0,0](s8_hr > 0.000))"
23,"(F[0,0](MET != 0.000) & Temp < 0.000)"
24,"G[0,0](tte != 0.000)"
25,"((Resp = 0.000) U[0,0] (ALT_GPT = 0.000))"
26,"((LOS > 0.000) U[0,0] (ALT_GPT = 0.000))"
27,"((Mort != 0.000) U[0,0] (LOS = 0.000))"
28,"((PCO2 > 0.000) U[0,0] (LOS = 0.000))"
29,"((ICU_Pt_Days != 0.000) U[0,0] (Mort != 0.000))"
30,(SpO2 > 0.000 | MAGNESIUM != 0.000)
31,"((LOS < 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
32,"(G[0,0](af > 0.000) | G[0,0](Pulse != 0.000))"
33,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
34,"((LOS > 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
35,"((ICU_Pt_Days != 0.000) U[0,0] (Mort < 0.000))"
36,"((LOS != 0.000) U[0,0] (LOS != 0.000))"
37,"((TROPONIN_I != 0.000) U[0,0] (LOS = 0.000))"
38,"F[0,0](n_edrk > 0.000)"
39,"((Mort != 0.000) U[0,0] (LOS > 0.000))"
40,"F[0,0](n_evts != 0.000)"
41,"((n_edrk < 0.000) U[0,0] (Resp < 0.000))"
42,"((ICU_Pt_Days != 0.000) U[0,0] (Resp < 0.000))"
43,"((LOS > 0.000) U[0,0] (SODIUM != 0.000))"
44,"(HEMOGLOBIN = 0.000 | G[0,0](Pulse != 0.000))"
45,MAGNESIUM != 0.000
46,"F[0,0](y > 0.000)"
47,"(G[0,0](s8_edrk = 0.000) & G[0,0](ALT_GPT > 0.000))"
48,(PHOSPHORUS != 0.000 | SBP < 0.000)
49,ICU_Pt_Days != 0.000
50,"(F[0,0](af != 0.000) | G[0,0](GLUCOSE > 0.000))"
51,"F[0,0](LOS < 0.000)"
52,Mort != 0.000
53,LOS != 0.000
54,"(F[0,0](s24_hr > 0.000) | MET = 0.000)"
55,"((ICU_Pt_Days < 0.000) U[0,0] (POTASSIUM > 0.000))"
56,GLUCOSE = 0.000
57,"(G[0,0](O2_Flow < 0.000) & G[0,0](s24_hr = 0.000))"
58,"F[0,0](ICU_Pt_Days != 0.000)"
59,"G[0,0](Mort < 0.000)"
60,"F[0,0](n_evts = 0.000)"
61,"((ICU_Pt_Days < 0.000) U[0,0] (ALT_GPT = 0.000))"
62,"(F[0,0](SODIUM < 0.000) | F[0,0](edrk > 0.000))"
63,"(G[0,0](af > 0.000) | G[0,0](s24_hr = 0.000))"
64,"((LOS < 0.000) U[0,0] (LOS != 0.000))"
65,"(G[0,0](s8_edrk = 0.000) & G[0,0](y != 0.000))"
66,"(G[0,0](direct > 0.000) -> G[0,0](ALKALINE_PHOSPHATASE > 0.000))"
67,"F[0,0](ICU_Pt_Days = 0.000)"
68,"F[0,0](Mort = 0.000)"
69,(s8_hr < 0.000 | MET = 0.000)
70,"(s8_hr < 0.000 | F[0,0](edrk > 0.000))"
71,(SODIUM < 0.000 -> WHITE_BLOOD_CELL_COUNT > 0.000)
72,"(F[0,0](af != 0.000) | F[0,0](edrk > 0.000))"
73,"((Resp = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
74,"F[0,0](LOS > 0.000)"
75,"G[0,0](LOS > 0.000)"
76,"((ICU_Pt_Days > 0.000) U[0,0] (Resp < 0.000))"
77,"(F[0,0](s24_edrk < 0.000) & s2_edrk = 0.000)"
78,"((LOS = 0.000) U[0,0] (LOS > 0.000))"
79,"(G[0,0](s8_edrk = 0.000) & s2_edrk = 0.000)"
80,HEMOGLOBIN < 0.000
81,LOS > 0.000
82,"(F[0,0](af != 0.000) | MAGNESIUM != 0.000)"
83,"(HEMOGLOBIN = 0.000 | G[0,0](SBP < 0.000))"
84,"((Resp = 0.000) U[0,0] (POTASSIUM > 0.000))"
85,"(F[0,0](PLATELET_COUNT = 0.000) | MAGNESIUM != 0.000)"
86,"((ICU_Pt_Days > 0.000) U[0,0] (LOS = 0.000))"
87,"((Resp = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
88,"(F[0,0](SODIUM < 0.000) | G[0,0](Pulse != 0.000))"
89,"(G[0,0](CALCIUM > 0.000) & G[0,0](ALT_GPT > 0.000))"
90,"((ICU_Pt_Days < 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
91,"(F[0,0](SODIUM < 0.000) | G[0,0](SBP < 0.000))"
92,"(F[0,0](MET != 0.000) & n_edrk > 0.000)"
93,Mort < 0.000
94,"((LOS = 0.000) U[0,0] (Mort != 0.000))"
95,"((LOS = 0.000) U[0,0] (LOS < 0.000))"
96,tte = 0.000
97,"(G[0,0](af > 0.000) | SBP < 0.000)"
98,"(G[0,0](af > 0.000) | G[0,0](SBP < 0.000))"
99,"((n_edrk < 0.000) U[0,0] (Mort != 0.000))"
100,"(F[0,0](s24_hr > 0.000) | G[0,0](LOS = 0.000))"
101,"(F[0,0](srr > 0.000) -> F[0,0](s8_hr > 0.000))"
102,"G[0,0](lds = 0.000)"
103,"((TROPONIN_I != 0.000) U[0,0] (ALT_GPT = 0.000))"
104,"(F[0,0](MET != 0.000) & G[0,0](ALT_GPT > 0.000))"
105,"(G[0,0](af > 0.000) | G[0,0](GLUCOSE > 0.000))"
106,"G[0,0](y > 0.000)"
107,"F[0,0](dfa != 0.000)"
108,"G[0,0](Sgy != 0.000)"
109,"(G[0,0](direct > 0.000) -> F[0,0](s8_hr > 0.000))"
110,"((ICU_Pt_Days != 0.000) U[0,0] (POTASSIUM > 0.000))"
111,"(F[0,0](s24_hr > 0.000) | F[0,0](edrk > 0.000))"
112,"(F[0,0](srr > 0.000) -> G[0,0](s24_edrk != 0.000))"
113,"((ICU_Pt_Days < 0.000) U[0,0] (LOS > 0.000))"
114,(LACTIC_ACID > 0.000 & n_edrk > 0.000)
115,"((TROPONIN_I != 0.000) U[0,0] (Mort < 0.000))"
116,"(n_edrk > 0.000 -> G[0,0](ALKALINE_PHOSPHATASE > 0.000))"
117,"F[0,0](Pulse < 0.000)"
118,"(G[0,0](s8_edrk = 0.000) & F[0,0](edrk > 0.000))"
119,"((ICU_Pt_Days != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
120,"(F[0,0](MET != 0.000) & s2_edrk = 0.000)"
121,"(G[0,0](CALCIUM > 0.000) & n_edrk > 0.000)"
122,"((LOS != 0.000) U[0,0] (POTASSIUM > 0.000))"
123,"(F[0,0](af != 0.000) | MET = 0.000)"
124,"((Resp = 0.000) U[0,0] (LOS < 0.000))"
125,"((Resp = 0.000) U[0,0] (LOS != 0.000))"
126,"G[0,0](Mort != 0.000)"
127,"(F[0,0](PLATELET_COUNT = 0.000) | G[0,0](s24_hr = 0.000))"
128,"((ICU_Pt_Days = 0.000) U[0,0] (Mort != 0.000))"
129,"(G[0,0](CALCIUM > 0.000) & G[0,0](s24_hr = 0.000))"
130,"(PHOSPHORUS != 0.000 | G[0,0](SBP < 0.000))"
131,"(F[0,0](s24_edrk < 0.000) & F[0,0](edrk > 0.000))"
132,"(F[0,0](SODIUM < 0.000) | SBP < 0.000)"
133,"((ICU_Pt_Days > 0.000) U[0,0] (LOS < 0.000))"
134,"(n_edrk > 0.000 -> G[0,0](TOTAL_PROTEIN < 0.000))"
135,ICU_Pt_Days = 0.000
136,"G[0,0](n_evts = 0.000)"
137,"(G[0,0](af > 0.000) | POTASSIUM > 0.000)"
138,"((LOS = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
139,"(PHOSPHORUS != 0.000 | G[0,0](Pulse != 0.000))"
140,"(G[0,0](CALCIUM > 0.000) & G[0,0](y != 0.000))"
141,"((ICU_Pt_Days < 0.000) U[0,0] (Mort < 0.000))"
142,"(F[0,0](af != 0.000) | G[0,0](s24_hr = 0.000))"
143,"((LOS < 0.000) U[0,0] (Resp < 0.000))"
144,"(F[0,0](s24_edrk < 0.000) & G[0,0](y != 0.000))"
145,"(G[0,0](CALCIUM > 0.000) & F[0,0](edrk > 0.000))"
146,"(G[0,0](s8_edrk = 0.000) & G[0,0](s24_hr = 0.000))"
147,"((ICU_Pt_Days < 0.000) U[0,0] (SODIUM != 0.000))"
148,"((TROPONIN_I != 0.000) U[0,0] (Mort != 0.000))"
149,"G[0,0](Mort > 0.000)"
150,"G[0,0](death != 0.000)"
151,"(SODIUM < 0.000 -> G[0,0](TOTAL_PROTEIN < 0.000))"
