,Non Rules
0,"((death < 0.000) U[0,0] (LOS > 0.000))"
1,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (SBP > 0.000))"
2,"((CALCIUM = 0.000) U[0,0] (LOS > 0.000))"
3,"((MET = 0.000) U[0,0] (LOS > 0.000))"
4,"((Sgy = 0.000) U[0,0] (MET > 0.000))"
5,"((direct > 0.000) U[0,0] (direct > 0.000))"
6,"((Mort > 0.000) U[0,0] (LOS > 0.000))"
7,"((PARTIAL_THROMBOPLASTIN_TIME = 0.000) U[0,0] (GLUCOSE > 0.000))"
8,"((ALT_GPT = 0.000) U[0,0] (n_evts > 0.000))"
9,"((death < 0.000) U[0,0] (direct > 0.000))"
10,"((MET = 0.000) U[0,0] (LOS > 0.000))"
11,"((death < 0.000) U[0,0] (MET > 0.000))"
12,"((ICU_Pt_Days > 0.000) U[0,0] (LACTIC_ACID > 0.000))"
13,"((direct = 0.000) U[0,0] (LACTIC_ACID > 0.000))"
14,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (SBP > 0.000))"
15,"((death < 0.000) U[0,0] (death > 0.000))"
16,"((n_evts = 0.000) U[0,0] (LACTIC_ACID > 0.000))"
17,"((HEMOGLOBIN = 0.000) U[0,0] (GLUCOSE > 0.000))"
18,"((tte < 0.000) U[0,0] (LOS > 0.000))"
19,"((y > 0.000) U[0,0] (n_evts > 0.000))"
20,"((n_evts > 0.000) U[0,0] (Mort > 0.000))"
